Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),4LHE Temp (ºF),App message,
0,1000,,0.00002047644956955606,-0.0011180853728228156,22.262675460433975,0.0026213234496832716,0,0.0583576732371239,0,0,0,0,75.5375,,
1.0277800000002608,1200,,0.06795961732242851,0.5902718355675268,21.99173077551112,1.7957004598228972,282.53389931376,39.49056106588667,26.0350155083981,65.92718565066946,0.022672229074613883,0.014947162553165754,75.5375,,
2.0220250000003723,1200,,0.05532748508224214,0.7252178313242423,22.023242777598426,1.6656468415192953,293.42475384624,36.68294477251945,22.014531134457666,60.01298770034833,0.03294268803159356,0.019769891316564363,75.425,,
3.003330000001006,1200,,0.05570472840974136,0.7450931670616777,22.023054619364746,1.6660912554861103,294.57667115256,36.69241872041659,22.249804249821555,60.638696018807835,0.03348762796722823,0.020306460926956798,75.425,,
4.022425000000745,1200,,0.055622627963684196,0.7431270457687025,22.02007382004175,1.686590154980208,294.99555017304,37.13883971681983,22.247995154397312,59.904927897683905,0.03340197804842759,0.020009430866310754,75.3125,,
5.002165000000037,1200,,0.05549036389113351,0.7434996316295837,22.022785791741395,1.6695898038381436,293.94835262184,36.76901861000297,22.11865506813111,60.155685150959535,0.033614142873489135,0.02022081795316983,75.2,,
6.023385000000708,1219.9634999999962,,0.06151340968357797,0.781704934818566,21.990954622536243,1.89218815451837,303.89672935824,41.61102384331407,25.347438868370645,60.915201134719,0.030839602331342544,0.0187860057892848,75.0875,,
7.000420000000857,1239.4815000000037,,0.06777552336407044,0.8653955607573428,21.955771905520784,2.133524957192297,320.33773091207996,46.84318731485007,29.437231532434723,62.84207633988781,0.029397994162726447,0.018474309934136315,74.975,,
8.026060000000522,1259.9802999999933,,0.07399277071910831,0.9564131505474114,21.9142917160391,2.425589103186885,336.67401271079996,53.15506719048306,33.7712693294369,63.53349005921931,0.02832031989137432,0.01799288762292541,74.8625,,
9.023560000000522,1279.9722999999858,,0.08095199517871403,1.0544555929879453,21.87274582291441,2.7140757976876153,352.69613524415996,59.36429006694488,38.7128012114506,65.21227015061466,0.02723790477543782,0.017762456045525683,74.75,,
10.02334500000067,1299.9813999999874,,0.0877135529870508,1.1510727737028987,21.828473190790874,3.0140424929060443,367.35690096096,65.79194575230407,43.68169965920318,66.39368871025285,0.026351373290951656,0.017495648753671152,74.75,,
11.022235000000336,1319.9680999999866,,0.08760566181664882,1.1968406041644255,20.708343885494287,3.130983976266867,369.76545532871995,64.83749288050656,43.92048644623558,67.73933490485149,0.027250167313823244,0.0184590820988431,74.6375,,
12.023050000000746,1339.968599999994,,0.08292163969029896,1.1444201719120637,19.151068939349383,3.1322703314014007,362.12091320496,59.98632505334696,40.708004689866414,67.86214133581949,0.02811290262519175,0.019078017713108932,74.525,,
13.024015000000595,1359.9749000000022,,0.07853524346268287,1.0893617200322545,17.696791808884978,3.1334129791263656,352.69613524415996,55.45135714285734,37.554146882679355,67.72448650071802,0.029007761071912077,0.01964535723130763,74.4125,,
14.024175000000746,1379.9673999999836,,0.07523801633079308,1.040014525487432,16.51327016658481,3.1347919549009804,345.05159312039996,51.765666467316436,35.19804075519396,67.99495332957247,0.029547511826605394,0.020090816876550243,74.3,,
15.025615000001155,1399.9970999999903,,0.07210620174963327,0.9950029845956985,15.407999088469875,3.1285546457545927,337.09289173127996,48.20476713001496,32.95961680507366,68.3741853086376,0.03018854832203426,0.020641173971695313,74.3,,
16.008140000000598,1400,,0.07098548054786469,0.9613624706631846,15.069138834483908,3.1354454414420325,333.84657932256,47.248462665039675,32.13360754578062,68.00984779883026,0.029917663906660195,0.02034695768788517,74.3,,
17.02426000000071,1400,,0.0712772490147214,0.9597860630256777,15.058443320972541,3.1316395875809877,333.95129907768,47.157617231302126,32.27207821147263,68.4344971315709,0.029740447972900503,0.020352726014930926,74.3,,
18.00309500000067,1400,,0.0714539262444654,0.9691533764726005,15.05725602370995,3.1321167113175794,333.42770030208,47.16108321844922,32.30691827939164,68.50334232092725,0.029998323210258554,0.020549854039261586,74.3,,
19.025480000000446,1400,,0.0715507549686267,0.9612740225975163,15.047362309203034,3.1341840636763547,333.32298054695997,47.161203149868385,32.33922972748562,68.57168088930715,0.029724703732832397,0.0203827289889698,74.1875,,
20.005060000000523,1400,,0.07801338096466885,0.9928921918546479,16.932923150824774,3.1309955790070134,341.80528071168,53.016907524897874,36.15251243696982,68.1905341611859,0.02746398866705898,0.018727840574035075,74.1875,,
21.001799999999815,1400,,0.08357454887115963,1.1085375903157655,18.97653143917453,3.136824427374976,357.93212300016,59.52604736525188,40.562682170424054,68.14274416967652,0.02732900121491588,0.01862273138200791,74.075,,
22.003085000000894,1400,,0.0823488055567985,1.1162279399968853,19.029095392408408,3.1342811642291477,359.39819957184,59.64253526074533,40.1288791230088,67.28231613155494,0.027816075713833502,0.01871529999717413,74.075,,
23.00088000000082,1400,,0.08223451061166634,1.117461947323954,19.053284138087484,3.131045168703046,359.50291932695995,59.6566932484852,40.08217275992087,67.18805649010497,0.027879275757259625,0.018731543544819734,74.075,,
24.0036950000003,1400,,0.08245056881959258,1.1189756608239356,19.030320566463615,3.1347105339059853,359.29347981672,59.65454634330121,40.162491528890975,67.3251143303698,0.027861211250278087,0.018757592328075574,73.9625,,
