Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),4LHE Temp (ºF),App message,
0,1000,,0.0014283942529583983,-0.01044614942534337,25.093487356118416,-0.02744226151162854,0,0.6886220422653458,0,0,0,0,77.1125,75.0875,84.65,,
0,1000,,0.0013920940834127832,-0.010502465406537943,25.093493365326722,-0.027714264448008175,0,0.6954477110510033,0,0,0,0,77.1125,75.0875,84.65,,
0.027779999999911525,1000,,0.001380037313193639,-0.010539120219879771,25.093495829553188,-0.027029246055727763,0,0.6782582731753716,0,0,0,0,77.1125,75.0875,84.65,,
0.055,1000,,0.0013828504530485292,-0.010645445751711837,25.093473499276932,-0.026540818635745422,0,0.666001329085193,0,0,0,0,77.1125,75.0875,84.65,,
0.08197499999997672,1000,,0.001376814117123676,-0.01073890570705782,25.093456282808315,-0.026498063619005086,0,0.6649280010025777,0,0,0,0,77.1125,75.0875,84.65,,
0.10677499999990686,1000,,0.0013724957099336616,-0.010805767152175176,25.09346155757712,-0.026178901772813123,0,0.6569192652556736,0,0,0,0,77.1125,75.0875,84.65,,
0.13629000000003724,1000,,0.0013470357365693122,-0.010962589944005768,25.093461293951147,-0.026794022433662468,0,0.6723547648483679,0,0,0,0,77.1125,75.0875,84.65,,
0.15814000000001396,1000,,0.0013198076406698794,-0.011136380959030879,25.09346578183374,-0.027293621590252393,0,0.6848915594373169,0,0,0,0,77.1125,75.0875,84.65,,
0.1831950000000652,1000,,0.0013246150029783146,-0.011246281547380825,25.093469898709884,-0.027420272321282857,0,0.6880697781085392,0,0,0,0,77.1125,75.0875,84.65,,
0.20730999999993946,1000,,0.0013437744637381406,-0.01123012207527354,25.09347388642358,-0.028103067901843914,0,0.705203600523309,0,0,0,0,77.1125,75.0875,84.65,,
0.2301149999999907,1000,,0.001353036661006682,-0.011100948019819841,25.093468742860885,-0.027512550039180628,0,0.6903853144445751,0,0,0,0,77.1125,75.0875,84.65,,
0.25277000000001865,1000,,0.001352891014092924,-0.010884606025620904,25.09345782950966,-0.026984019554991745,0,0.6771223567738494,0,0,0,0,77.1125,75.0875,84.65,,
0.2786899999999441,1000,,0.0013710054530773708,-0.010568553168281309,25.09346359779774,-0.028028913275848444,0,0.7033425149733328,0,0,0,0,77.1125,75.0875,84.65,,
0.30083499999996277,1000,,0.0013728241777480256,-0.01037962483602056,25.093469580154434,-0.027236875928736692,0,0.6834677175761947,0,0,0,0,77.1125,75.0875,84.65,,
0.32200499999988824,1000,,0.0013872426120558347,-0.010175277220862217,25.093475984637585,-0.027510740499229636,0,0.6903401060370155,0,0,0,0,77.1125,75.0875,84.65,,
0.3460899999999674,1000,,0.0013960965081826044,-0.009969064124347641,25.09347057911892,-0.027000938272175645,0,0.6775472501414457,0,0,0,0,77.1125,75.0875,84.65,,
0.3690750000000699,1000,,0.0013781794154120544,-0.010010195332844682,25.09349334572262,-0.027440327531559117,0,0.6885736763176279,0,0,0,0,77.1125,75.0875,84.65,,
