Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),4LHE Temp (ºF),App message,
0,1000,,-0.0013417751418816507,-0.004877461052471428,25.030371252946995,-0.025362135042253042,0,0.6348236558749701,0,0,0,0,76.4375,74.8625,74.75,,
0,1000,,-0.0013210259543002122,-0.0044047696587485525,25.03045079217357,-0.025650776639975614,0,0.6420505024679449,0,0,0,0,76.4375,74.8625,74.75,,
0.024365000000223517,1000,,-0.001310617915447393,-0.004045018275066447,25.03051926513062,-0.02502783323052027,0,0.626459661841014,0,0,0,0,76.4375,74.8625,74.75,,
0.046,1000,,-0.001296796954869848,-0.003971404784166058,25.030590000557332,-0.02470545089011056,0,0.6183920120092616,0,0,0,0,76.4375,74.8625,74.75,,
0.07098000000044703,1000,,-0.0012804102405507875,-0.003808214678726359,25.03063307614687,-0.024650564152087107,0,0.6170192264109119,0,0,0,0,76.4375,74.8625,74.75,,
0.09294500000029803,1000,,-0.0012491661229603452,-0.0036909608750438794,25.030678494216225,-0.025093613012050486,0,0.6281101595629165,0,0,0,0,76.4375,74.8625,74.75,,
0.11607999999914319,1000,,-0.0012208113061355247,-0.003562676624728368,25.03072144034619,-0.025122856213796618,0,0.6288432156734135,0,0,0,0,76.4375,74.8625,74.75,,
0.14203499999921768,1000,,-0.0011077138995153142,-0.003242980681205284,25.0307755801857,-0.02472820718222901,0,0.6189662044787106,0,0,0,0,76.4375,74.8625,74.75,,
0.16506499999947846,1000,,-0.0009716106716797029,-0.002798205341438394,25.030834897738714,-0.02498637221749278,0,0.6254297576695074,0,0,0,0,76.4375,74.8625,74.75,,
0.1893999999994412,1000,,-0.00091374331724837,-0.0024601443035526175,25.03088646165484,-0.025210739207978117,0,0.6310471507292903,0,0,0,0,76.4375,74.8625,74.75,,
0.2140699999993667,1000,,-0.0008405568242917869,-0.002242891729975289,25.030943496564614,-0.024451434395607485,0,0.6120424727664076,0,0,0,0,76.4375,74.8625,74.75,,
