Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),4LHE Temp (ºF),App message,
0.24485350000024778,1200,,0.07606965975246227,-0.02596411153697377,37.0590890158554,0.44145229342570946,0,16.381925014639343,0,0,0,0,78.6875,76.4375,94.1,,
0.23345825000004844,1200,,0.4585447919407656,0.3279034649968842,36.9937933950916,1.5824848086958323,0,58.53286835356865,0,0,0,0,78.6875,76.4375,94.1,,
0.7447927499999758,1200,,0.1812267271368492,0.6758156995013456,37.021459512387665,0.9442342245742191,0,34.956840626349674,0,0,0,0,78.625625,76.4375,94.1,,
1.2593112500000743,1200,,0.1311059085622761,0.784381054468346,37.02370365688413,0.8624330585624937,0,31.930466020268035,0,0,0,0,78.575,76.4375,94.1,,
1.7680402499999854,1200,,0.12190355508876537,0.8251606940189689,37.02275559469149,0.8523034395361592,0,31.554620778706056,0,0,0,0,78.575,76.4375,94.08312500000001,,
2.2912364999999757,1200,,0.11962199624456835,0.8374193334504978,37.0213287164453,0.8515441590021879,0,31.52529258188548,0,0,0,0,78.575,76.4375,93.9875,,
2.808048999999836,1200,,0.11833265620083849,0.8431004499910778,37.01943549238307,0.8473265403377997,0,31.36755134694435,0,0,0,0,78.575,76.4375,93.9875,,
3.3073177499999757,1200.1063624999983,,0.11371487630757722,0.837187942000099,37.01866958581566,0.8335375512491814,0,30.856449561353674,0,0,0,0,78.575,76.4375,93.891875,,
3.7910135000000245,1214.2958249999765,,0.12580418552274322,0.8333874884125168,37.01394544198594,0.9066121126946438,0,33.55710474745054,0,0,0,0,78.575,76.4375,93.875,,
4.2832469999999745,1238.8695624999718,,0.20451662097763884,0.9583895557101995,36.99428879027869,1.2513655541049562,0,46.29258072192529,0,0,0,0,78.575,76.4375,93.835625,,
4.782528999999957,1263.8364499999761,,0.2727034884256941,1.2615706026071336,36.97147991656346,1.6097977339947405,0,59.515701875380365,0,0,0,0,78.575,76.4375,93.7625,,
5.267291749999812,1288.1118874999788,,0.32952192819494375,1.642710736806681,36.94534761899966,2.0166289554906696,0,74.50358266561867,0,0,0,0,78.575,76.4375,93.7625,,
5.746020499999962,1312.0528249999759,,0.380446869041725,2.049266955424617,36.91762710016781,2.4323189054577172,0,89.7939307555491,0,0,0,0,78.575,76.4375,93.66687499999999,,
6.225300499999802,1336.014387499979,,0.45252086189871055,2.5351332133131974,36.879042076226916,3.036197263288947,0,111.97085693720717,0,0,0,0,78.575,76.4375,93.65,,
6.71731924999999,1360.5674124999837,,0.4971254630024932,3.0528463417681526,36.84668112575456,3.450068247500179,0,127.12202816621716,0,0,0,0,78.575,76.4375,93.610625,,
7.230183999999939,1386.1623999999779,,0.5771057602170483,3.603092748593905,36.79858858674257,4.161539099206943,0,153.13563676205757,0,0,0,0,78.575,76.4375,93.5375,,
7.754294499999889,1412.4343624999779,,0.6694637800340013,4.255193300293521,36.732695424718564,5.193784034722001,0,190.77665404798586,0,0,0,0,78.575,76.4375,93.5375,,
8.241866500000002,1436.839299999979,,0.7337312396218105,4.878600097497791,36.67198720696946,6.125515859400251,0,224.63191755133016,0,0,0,0,78.575,76.4375,93.425,,
8.722420999999951,1460.8348499999781,,0.8347683944537262,5.571141236524903,36.60289350870259,7.114060843860685,0,260.39201005351043,0,0,0,0,78.575,76.4375,93.425,,
9.214716249999913,1485.4802874999768,,0.906390942530641,6.2412300422044265,36.54167927159276,7.909438240788569,0,289.014171186162,0,0,0,0,78.575,76.4375,93.36875,,
9.728916249999964,1511.0989624999797,,1.0082771876615104,6.970921655313022,36.45364951151425,9.21123907444251,0,335.77649155973273,0,0,0,0,78.575,76.4375,93.3125,,
10.221503499999828,1535.7869624999762,,1.0608674772770015,7.520904321320205,36.388469345450716,10.097525053253847,0,367.4253233648894,0,0,0,0,78.56375,76.4375,93.3125,,
10.727531750000082,1561.0137124999824,,1.181951219069768,8.274077472986946,36.2885872716612,11.611181231943043,0,421.33431155642165,0,0,0,0,78.4625,76.4375,93.3125,,
