Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),4LHE Temp (ºF),App message,
0,1050,,0.008971967427990096,0.11169810089631056,22.223144935114316,0.2567356803681834,124.61650859279999,5.705473997717159,1.5162029121419982,26.574966425634074,0.07367214620550346,0.019577805908287976,73.625,70.8125,,
30.750668920499926,1080,,0.01729470699792808,0.21978969113166671,22.194816178539632,0.4530380107325138,167.86576745736,10.055095346446894,3.937077717375665,39.154467398629755,0.05583195258858099,0.021858548341638206,73.5125,70.475,,
61.23622342049994,1110,,0.026245825331355322,0.33676344064423125,22.159398517244735,0.6998601611241015,203.88936321864,15.508479247757702,7.2546918270181395,46.779035482648155,0.04642114705215728,0.021715093885662937,73.7375,70.0925,,
91.73988942049988,1140,,0.035826652060523455,0.4729712068899383,22.116531102738442,0.9959497016388376,238.02800338775998,22.026949159475933,11.560831635794544,52.48614305052108,0.040911688201225024,0.02147303898081432,74.075,70.025,,
122.23427392049999,1170,,0.04656382200731665,0.6148666601348911,22.065732496165417,1.3529485946050692,269.86280894424,29.8538017287385,17.040226937272582,57.078906858037804,0.03608344178992131,0.02059595693574446,74.3,70.1375,,
152.7154234205,1200,,0.05628970212724983,0.7522413506352182,22.01467032405673,1.7107155757913262,296.35690698959996,37.66083858477916,22.61519703709291,60.04975940460182,0.0332627888751282,0.01997411966069139,74.75,70.025,,
183.19212992049992,1230,,0.06563987290973816,0.8934773309755922,21.960087527549454,2.0958466184986757,320.86132968768,46.02497413298213,28.553949611376975,62.040210599458916,0.03129087537596901,0.01941292693143572,75.0875,69.9125,,
213.67900917049997,1260,,0.0766345616096341,1.0397081685595342,21.900474435649254,2.5154316962794194,344.63271409991995,55.089146372008415,35.812225380285966,65.00785872586535,0.02903271466263293,0.018873189495886365,75.3125,69.9125,,
244.14894117049988,1290,,0.08903422767579362,1.1954746582330154,21.830000259590673,3.004953822197729,367.56634047119996,65.59812880255834,44.36676387391454,67.63420487545118,0.026945707248492715,0.01822448589622529,75.5375,70.1375,,
274.63177767049996,1320,,0.08662777965138166,1.169569846025486,19.851282638170783,3.1347558473897807,362.64451198055997,62.228921863403784,42.59150275765504,68.44325782838209,0.027460248450705063,0.01879464190002022,75.875,70.025,,
305.1169474204999,1350,,0.08399399136826846,1.1276854840724215,18.977903480253026,3.1337817617225188,357.40852422456,59.4726018178874,40.698694315276505,68.43269182871526,0.02770817015545606,0.018961442086236853,75.9875,70.025,,
335.6172389205,1350,,0.0833276143619121,1.125398788965568,18.968932783545043,3.13996299065796,357.61796373479996,59.561740345078796,40.407413686881526,67.84128671517271,0.02785139711814775,0.01889467715814341,75.9875,69.9125,,
366.1198311704999,1320,,0.08717095999393415,1.1826957379262404,19.84865101300119,3.1343356555551467,362.3303527152,62.21233562212656,42.81909772647147,68.82738839940063,0.027620950440157634,0.019010640584013534,76.1,69.8,,
396.6157371705,1290,,0.08846322714556844,1.1969638825206217,21.830622762937477,3.000368360596758,367.98521949167997,65.49989839042554,44.131816629127535,67.37695361473763,0.027122732527299395,0.018274449888327098,76.2125,69.6875,,
427.1045204204999,1260,,0.07804112621380908,1.048474740609212,21.899428003687582,2.5262384670711713,344.73743385503997,55.32317254062891,36.475497643453465,65.93165457316678,0.02874503891911647,0.018951893389036658,76.55,69.8,,
457.5891481705,1230,,0.06911099698581621,0.9067892321727664,21.958769041062293,2.1083310331316456,319.81413213648,46.29635177235487,29.970149956126143,64.73561680114861,0.03025647530407705,0.01958665444772001,76.55,69.8,,
488.0745069205001,1200,,0.05797542165839864,0.7533767416803003,22.014506371478536,1.7188159222654504,296.35690698959996,37.838883761048734,23.292178772302332,61.556236910768426,0.03234471043218795,0.019910136938080976,76.775,69.6875,,
518.5816511705,1170,,0.048973718995519874,0.6192046662994835,22.065162844917694,1.3640591847461052,270.28168796472,30.098187109845423,17.945999854942688,59.62502987750021,0.03450391858142355,0.020572942092659755,76.6625,69.8,,
549.0529234205001,1140,,0.037806654897239396,0.4775852251193427,22.117074879429943,1.0014765589057544,237.39968485703997,22.149724907785437,12.167279927194462,54.932847114054724,0.039252831456767175,0.02156270055052656,76.775,69.8,,
579.5404109205,1110,,0.028194125100835483,0.336093208506601,22.159992255472538,0.7010305821819676,205.98375832104,15.534830816638504,7.875535721125024,50.698058805395874,0.04267743528823944,0.021635225642301963,76.775,70.025,,
610.0250494205002,1080,,0.019917425735360015,0.22470337724060344,22.194242027900167,0.46231213608154464,167.97048721247998,10.260666541545785,4.536156819627347,44.20996913983621,0.04953761732315655,0.021899967365784756,76.6625,70.25,,
640.5044181704999,1050,,0.010922891730064032,0.12287047017692053,22.22317554529031,0.2632149910394041,124.51178883767999,5.849472807973791,1.8434914848935087,31.51592483228427,0.06665321151018286,0.021005895537903215,76.6625,70.3625,,
