Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),4LHE Temp (ºF),App message,
33.711456960000184,1050,,0.009444689291904815,0.11511741679819108,22.22356877610556,0.2574411388202088,123.67403079671999,5.721260843600198,1.583628713101136,27.679166707525173,0.07270356103400638,0.02012182293443,74.75,70.475,,
34.20688446000013,1050,,0.009484689373026028,0.1175906875496037,22.22336765649877,0.2567895204870504,123.67403079671999,5.7067277266861645,1.5903489402708122,27.867864795580978,0.07394395770760975,0.02060598216742097,74.75,70.475,,
34.704029710000114,1050,,0.00953208971080653,0.11729838505734083,22.223592227981175,0.2574944279659416,123.67403079671999,5.722451171722339,1.5988657619867837,27.940848903035192,0.0733651637146229,0.020498201041892736,74.75,70.41875,,
35.208094210000155,1050,,0.009431649910766012,0.11585040503891471,22.22362024222821,0.2555402566023553,123.77875055183999,5.6790296250415375,1.582443524412115,27.864546630578197,0.07321056751648253,0.020399685341897317,74.75,70.3625,,
35.715667460000134,1050,,0.00942312756603032,0.11472101555796425,22.223526119409158,0.25611465757253943,123.88347030695999,5.691770518966132,1.5833631709909046,27.818532611111277,0.07246065679736993,0.020156648393296894,74.75,70.3625,,
36.217963710000205,1050,,0.009353992747388847,0.11445277618507131,22.22352485504492,0.2568125774998934,124.19762957232,5.707280716888698,1.5747580651611262,27.59335560828719,0.07268827434713598,0.02005408749947717,74.75,70.3625,,
36.708582210000145,1050,,0.009424767320053559,0.11584195986442741,22.22342176436474,0.2564680316382677,123.98819006208,5.699596933295399,1.5846947339305362,27.804967861436545,0.07310149183059808,0.02032531242876682,74.75,70.3625,,
37.20957146000017,1050,,0.00954900301413964,0.11601447595830779,22.22357400060435,0.2553083820410835,123.98819006208,5.673864572728528,1.605355193798146,28.295517116687982,0.0722720168484656,0.020447847441433735,74.75,70.3625,,
37.715785460000134,1050,,0.009582513185547039,0.11535182174544427,22.2233017884229,0.25947852087282686,123.98819006208,5.766467673921085,1.6105576625323006,27.9327851133316,0.0716280860644378,0.02000690121314124,74.75,70.3625,,
38.208391710000114,1050,,0.009607203234753281,0.11580763805337982,22.223316785675316,0.2572663300059822,123.98819006208,5.717311056174725,1.6148660977626605,28.24535280484302,0.07171596835184972,0.020255922258412225,74.75,70.3625,,
38.71086971000015,1050,,0.009530337994994574,0.11603746428105506,22.22355113496999,0.2571042830567309,123.67403079671999,5.71377018813299,1.598138740584032,27.97088786101308,0.07260823738064213,0.020309202960066403,74.75,70.3625,,
39.21317071000012,1050,,0.009464879215120181,0.11456927676996632,22.22355424770132,0.25680299847600346,123.56931104159999,5.707075350576711,1.5863182500903157,27.795816398733052,0.07222461863218513,0.020075084064390465,74.75,70.3625,,
39.70780296000021,1050,,0.009427646781713003,0.11386029128152078,22.223530085336,0.2565572158972165,123.67403079671999,5.7016069851734725,1.5811290936703648,27.731478456155525,0.0720119658878666,0.019969818704009313,74.75,70.3625,,
40.20772246000014,1050,,0.009410393529589509,0.11389376578027681,22.223593769351663,0.25670735754749424,123.88347030695999,5.704960052040986,1.5808371597834339,27.71027668838094,0.0720473070575661,0.019964219203994816,74.75,70.3625,,
40.710848960000234,1050,,0.009471524300466171,0.11469530959448818,22.223564503711554,0.2569087541129604,123.98819006208,5.709428264441134,1.5915616290141463,27.877000430200763,0.07206565220467762,0.02008916648626658,74.75,70.3625,,
41.20920196000014,1050,,0.009573563493139483,0.11509467438063489,22.22357718545259,0.2577008064224477,123.98819006208,5.727033740551083,1.6100209766180456,28.110872996403835,0.07152937469314531,0.020097074065593894,74.75,70.3625,,
41.7105567100001,1050,,0.009523909903351183,0.1161290210012517,22.223567314211756,0.2579816002718725,124.30234932744,5.733271477947009,1.6045097932659451,27.98549637778378,0.07238738252709458,0.020255937199997808,74.75,70.3625,,
42.212735960000124,1050,,0.009476039512796146,0.11594066956705293,22.223528897657424,0.254888088146913,123.98819006208,5.664512441786019,1.593524892023317,28.13326228319641,0.07275911968536668,0.0204690989256202,74.75,70.3625,,
42.69582346000008,1050,,0.009643258408621463,0.1163678534320422,22.223065299659545,0.26022852062296276,124.19762957232,5.783074938679082,1.6235999498244493,28.076679485125176,0.07167492368595081,0.020123222502443805,74.75,70.35125,,
43.18821746000012,1050,,0.009348596160171805,0.1162039950684132,22.223581422124568,0.2574685476966138,124.0929098172,5.721873224408696,1.5729673879670725,27.490273888689764,0.07388150745225383,0.020308798080165974,74.75,70.25,,
43.68611671000016,1050,,0.009420909268851118,0.114849968556105,22.223536262170434,0.25681230468421756,124.0929098172,5.707277577497145,1.5844637730464384,27.762234591968358,0.07248834972000429,0.020123470974272847,74.75,70.25,,
44.18333796000006,1050,,0.00937024812844797,0.11528675160591392,22.223510680265317,0.2565860147979745,123.98819006208,5.702242025016767,1.5745983827489565,27.614109664308955,0.07321781705981009,0.02021803644913382,74.75,70.289375,,
