Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),ESC Temp (ºF),Motor Temp (ºF),App message,
0,1050,,-0.0007937796057839388,-0.00909825031088187,46.770904048983326,-0.002443358804039286,0,0.11427811663833123,0,0,0,0,79.3625,79.475,,
30.770219036249443,1145,,-0.0017620314494493057,-0.016163943796061623,46.80186367656869,-0.004691877078491805,0,0.2195886235403452,0,0,0,0,79.3625,79.8125,,
61.28836278624963,1240,,0.18075829729320023,1.5758200967836833,46.51783322941226,1.5243049305210208,1191,70.90735250523116,30.5595680261643,43.09808047092092,0.05156711283892717,0.02222425172539497,77.950625,76.038125,,
91.78313328624907,1335,,0.34830799953141545,3.165407351186888,46.07118476049435,3.1477261791429125,1678,145.0194491378711,82.99681441528307,57.23160536110341,0.0381399264464853,0.02182779662897692,77,74.75,,
122.29384778624846,1430,,0.5362301361294783,4.936176130448616,45.66143941900115,5.337730137661863,2095,243.7283971276132,159.52153765464666,65.45119600128588,0.030943952266054314,0.020253157947353523,76.6625,74.4125,,
152.78781853624955,1525,,0.782788829603182,7.267071073028256,45.05201344487635,8.573103546267953,2518,386.23552788890396,279.87739651227446,72.46338670052317,0.02596527032801782,0.01881521550306241,76.4375,74.4125,,
183.28517603624928,1620,,1.0906857298517254,10.10047762647375,44.18972849562497,13.406624067587497,2983,592.4329423562102,462.00350434622703,77.9913014455532,0.02186241697377345,0.017050405509967885,76.55,74.75,,
213.78530603624935,1715,,1.3958471577719722,13.084665399923662,43.156696945606974,19.152137074505163,3362,826.5425200467996,666.3147523629139,80.61500783753839,0.01963746719304653,0.015830689513654597,76.4375,75.3125,,
244.27664653624893,1810,,1.6832797267585538,15.667343041333632,41.82889378227442,25.328443692672536,3689,1059.4601004561773,881.6762220583838,83.21978381349625,0.017769936948395113,0.01478811969666367,76.6625,75.7625,,
274.7739625362491,1905,,1.9281515770285924,17.999728974556227,40.03875068034674,32.021871479928585,3950,1282.1156893859968,1081.2412647995475,84.33263149938084,0.016647266123841088,0.014039056898499639,77.1125,76.4375,,
305.25760603624934,2000,,2.020820059697729,19.022056704260592,38.19218639257393,35.49987305694888,4023,1355.81771106615,1154.3155658306046,85.13788876570875,0.016479067097466955,0.01402992857374531,77.1125,77,,
335.7647352862488,2000,,1.896184188204919,17.669338053377547,37.01899128959414,33.50167586368312,3928,1240.197816144697,1057.521652980976,85.27036031983783,0.01670818806946919,0.014247166775308706,76.8875,77.225,,
366.24405403624917,1905,,1.6490794429457118,15.54235262766037,37.1759183806992,27.719961380006957,3676,1030.5146333312032,860.6206638939551,83.51370411784667,0.018059485870503315,0.015082139822233023,76.775,77.3375,,
396.73534003624843,1810,,1.4168175515680157,13.103406361127579,38.06559770254675,21.593926759543102,3384,821.9853869425533,680.6351193975871,82.80395156679593,0.019251884280542614,0.015941235899047324,76.775,77.3375,,
427.2125542862492,1715,,1.157967176166732,10.69843823656487,39.21105361642713,16.112539106977284,3083,631.7893017642689,506.903788842231,80.23323701664482,0.021105641392726908,0.016933742917945985,77,76.8875,,
457.70830228624936,1620,,0.8970310357696568,8.310638503975685,40.58213013615104,11.07882390386715,2708,449.6012575122587,344.95672108281394,76.72819029256134,0.024091863701865238,0.018485283606263635,77.225,76.55,,
488.19855803624915,1525,,0.6945368177914004,6.46642365479193,41.592193714906244,7.822301337674405,2378,325.3466280936652,234.53644865287592,72.0884332368183,0.027571085628712324,0.019875545459363,77.225,76.325,,
518.6872687862485,1430,,0.48780183792673265,4.448676095653167,42.56818505951243,4.945919380565905,1985,210.5387727932892,137.45807323452078,65.28894639018046,0.032364811370502934,0.02113011006027028,77.225,75.7625,,
549.1682235362489,1335,,0.31711023607886846,2.883741686817939,43.29058405329486,2.9634168536910788,1591,128.288006958376,71.64271706591315,55.846270599304646,0.0402520608702486,0.022479010488699432,77.45,75.65,,
579.6398195362497,1240,,0.15829121396444681,1.3947651412910074,44.05274613030484,1.4464539534835223,1131,63.72026773205844,25.418654122638422,39.89092526182033,0.05487207163443075,0.02188888075474352,77.5625,75.5375,,
610.1227760362493,1145,,-0.0015455546962806085,0.0037414641577874046,44.86775039998926,0.05575923952029497,0,2.501792654761956,0,0,0,0,78.2375,76.6625,,
640.6191777862496,1050,,-0.0015250037582786508,0.00024549860796335395,45.08881591477436,0.0549558428275872,0,2.4778936048547586,0,0,0,0,78.6875,77.3375,,
