Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),ESC Temp (ºF),Motor Temp (ºF),App message,90% settling time (s),Max acceleration (RPM/s),
0,1050,,0.0015079580943437954,0.03227894461619958,47.26228941221063,0.02235625496082949,0,1.056607792131893,0,0,0,0,78.125,75.425,,undefined,0,
3.4336710482090713,1145,,0.001590792925431517,0.031194776771387822,47.26395680441183,0.021760143357206163,0,1.0284704756928011,0,0,0,0,78.125,75.425,,undefined,0,
6.4814210482127965,1240,,0.19209962194724006,1.7023169221252221,47.00912723759902,1.5682377034672392,1207,73.72148574109153,32.91431425172197,44.64684063383695,0.051719653312727376,0.023091191190906368,78.2375,75.5375,,0.3064349999986589,1579,
8.658636048212648,1335,,0.36089165393950723,3.269284916975456,46.65673755034992,3.1962774675941388,1685,149.1278789436368,86.34247529460038,57.89827891754143,0.03786415557141096,0.021922694402507322,78.2375,75.425,,0.25295500000193716,1889,
10.682071048211306,1430,,0.5559645525288411,5.137864643985314,46.3322602336328,5.425112238868367,2117,251.35771204791547,167.09856553997645,66.47839216014307,0.03074750897700638,0.020440449597209497,78.2375,75.2,,0.1228800000026822,1685,
12.67949104820937,1525,,0.8082970597228182,7.567305983374139,45.86741078892123,8.667352397554996,2556,397.5490128709963,293.31390928503515,73.78056536143754,0.02579934242402538,0.019034900699979127,78.125,74.975,,0.12673500000312923,1746,
14.695156048208474,1620,,1.1455020448138964,10.776500401127073,45.121602459986796,13.97321952194787,3027,630.4940563554585,492.2428977033173,78.07256749551367,0.0218926478196182,0.01709215224552652,78.125,74.8625,,0.13191000000014902,1597,
16.705391048211606,1715,,1.4626642475487874,13.665515554353524,44.33556004666888,19.827428539407723,3432,879.0601485799474,712.6479781128452,81.06930785840673,0.019175688381998943,0.015545597848371458,78.0125,74.8625,,0.12233000000193715,1805,
18.715221048209816,1810,,1.8245578423594542,17.23712522086849,43.34753474781137,27.23576505819449,3782,1180.6032722433126,979.753385053396,82.98752070979157,0.017593330611385512,0.014600268884665653,77.9,74.8625,,0.12219500000029802,1239,
20.79862604821101,1905,,2.1261876223927247,19.901266184577302,42.26462540033503,34.96504145783149,4109,1477.784379322432,1240.5213062028315,83.94467579712907,0.016042663745529692,0.013466962070408463,77.7875,74.8625,,0.167,1647,
22.83079604820907,2000,,2.334084928281464,21.846540790760105,41.51138819034394,40.25605649334662,4287,1671.0847881077275,1420.6943794277772,85.01629537520459,0.015377368353888598,0.013073268900675165,77.675,74.8625,,0.12186499999836088,488,
25.113076048210264,1715,,1.4754593620480738,13.878476883846163,44.158763948218294,19.699085976429874,3416,869.8872876288241,715.5230718986563,82.25468771351512,0.019396267470480465,0.015954339235921825,77.45,74.975,,0.18623500000312926,-4458,
27.233666048210114,1620,,1.1325789537255728,10.68188769639744,44.92380417949185,13.98335412311842,3022,628.1854623994619,485.9545878447023,77.35845811975902,0.021981246732896528,0.017004353548068656,77.45,74.8625,,0.14842500000074507,-1461,
30.883286048211158,1525,,0.8030845508817899,7.558889489491748,45.63437612391354,8.717530277352546,2546,397.8190555483104,290.2864104789009,72.96945845864566,0.026039419058651234,0.019000823072875175,77.5625,74.8625,,0.23371499999612572,-1346,
33.585366048209366,1430,,0.5568346502424248,5.135343796886406,46.09367100720182,5.416759500907234,2106,249.67833035995275,166.52675756971396,66.69652001022195,0.03083794983960203,0.020567839385512376,77.5625,74.8625,,0.40212999999523164,-1192,
54.846791048210115,1335,,0.3563657126993995,3.2560450303220696,46.46623812594929,3.1803512305247286,1682,147.77895760171788,85.09573759041655,57.583122097639794,0.03826331520850187,0.02203321151511641,77.5625,74.8625,,0.4995300000011921,-1023,
68.60785604821146,1240,,0.181747698817243,1.6338695456218701,46.73347023436269,1.5186450902982338,1196,70.97155512401355,30.852917526097475,43.472229785843105,0.052956727487435615,0.02302147026040075,77.675,74.975,,0.793949999999255,-772,
73.35525604820997,1145,,0.0031198782717277557,0.036482263802085364,47.10191987436384,0.01930153282823055,0,0.9091392527277186,0,0,0,0,77.675,75.0875,,2.273995000001043,-986,
75.13501604821161,1050,,0.0027479672869129236,0.03651895655024629,47.10972302423952,0.018204186295012026,0,0.8575941742396735,0,0,0,0,77.675,75.2,,undefined,0,
