Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),ESC Temp (ºF),Motor Temp (ºF),App message,90% settling time (s),Max acceleration (RPM/s),
0,1525,,-0.7383889746585569,7.067013809065484,44.58718796217068,7.7796142454707775,2447,346.8711226359862,256.5597682655686,73.96400320553862,0.027545292299104043,0.020373600879084297,79.25,83.3,,0.30740000000013973,9685,
5.859592379440321,1905,,-1.935882852799812,17.689148556379994,40.993651779176226,30.912909998846295,3933,1267.23306797372,1080.9053389288001,85.29649093336444,0.016365122753404394,0.01395887544559154,79.025,82.4,,0.3577099999999628,4613,
10.92861737944046,1525,,-0.7320133134261693,6.685531649644253,44.257963968230285,7.564372088391363,2427,334.7837073303118,252.2747936044204,75.35456119300196,0.02650098947311995,0.01996970432927318,78.4625,80.9375,,0.3503049999999348,-5255,
13.228537379440386,1905,,-1.9167122907925394,17.851037204176105,40.848387855674794,30.694740608218506,3917,1253.8306694938408,1066.0642872058604,85.02458211811171,0.016744803684366375,0.01423719935913068,78.35,80.6,,0.3693450000002049,5845,
21.84187237944035,1525,,-0.7075068414062298,6.582604867987797,44.06367227265165,7.362891714803199,2415,324.4360475001103,242.60270259990835,74.7767408921556,0.02713327097119603,0.020289375729697728,78.0125,78.8,,0.3708000000000466,-5676,
24.17471737944009,1905,,-1.8895687537113859,17.633137838413145,40.59120600496405,30.314522235337684,3899,1230.503016996655,1045.9465862399315,85.00154585502936,0.016858545235854182,0.014330024059145461,77.9,78.4625,,0.3546449999997858,5078,
27.50436237944034,1525,,-0.7388734181741876,6.670744039084666,44.23959806382381,7.6807261498856585,2442,339.7922377092425,256.20443283055454,75.40031948869492,0.026036801804660746,0.019631831745352487,77.7875,78.35,,0.33485000000009313,-4523,
29.85320237944042,1905,,-1.9141913174577148,17.800447255554744,40.818808190123306,30.568785927754597,3918,1247.7814093899553,1064.8824284014768,85.34206555634624,0.01671588034584763,0.014265677563073684,77.7875,78.0125,,0.33259499999973924,5049,
32.17656237944029,1525,,-0.7285899475903497,6.7146405519005326,44.283419094345945,7.525346671711932,2428,333.2480804936609,251.21434794980505,75.38358437884047,0.026728730292276858,0.020149074953271215,77.675,77.7875,,0.3788300000000745,-4334,
34.52610237944033,1905,,-1.8864433063531516,17.694931342423082,40.56344613147013,30.180107740448932,3895,1224.209174571665,1043.147695667304,85.20992305357359,0.016963016278441368,0.014454173118425052,77.675,77.5625,,0.33714999999990686,4498,
37.96029737944016,1525,,-0.7218128989061103,6.687719366721082,44.12901519329652,7.463414499358735,2420,329.35313183607116,247.98101903480043,75.29335386986025,0.026968674428193076,0.020305619471229924,77.5625,77.45,,0.3547349999998696,-4409,
40.31975737944036,1905,,-1.921831408066894,17.816956942658457,40.726188864847764,30.655836211465065,3909,1248.4953753579655,1066.5297175104693,85.42520369406066,0.016705541955499763,0.01427074324368244,77.5625,77.45,,0.3391450000000186,5522,
44.068772379440254,1525,,-0.7197320970364885,6.822903261439018,44.23756006724237,7.435819508813359,2428,328.94251217030364,248.1594263657688,75.44157935940157,0.027494032208885584,0.02074193212796585,77.45,77.3375,,0.3334949999998789,-4704,
