Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),4LHE Temp (ºF),App message,
0,1000,,0.0011192846180849596,-0.0024461224126689995,12.490665809505902,0.10801310888239588,0,1.3491556548463133,0,0,0,0,79.25,77.1125,,
0.782222420000704,1000,,0.0012155574445753218,-0.002080464102347441,12.490713824043237,0.10924360631045131,0,1.3645306262844472,0,0,0,0,79.25,77.1125,,
1.2839749200006014,1000,,0.001116759315823495,-0.0027333939089254082,12.490765857400971,0.10793954255867429,0,1.3482475043460893,0,0,0,0,79.221875,77.1125,,
1.7824021700006447,1000,,0.0012335058403018934,-0.0020258462741165224,12.490863205851257,0.10710754870863588,0,1.3378657763375572,0,0,0,0,79.1375,77.1125,,
2.3052556700006592,1000,,0.0012534283883671527,-0.0017684609140442707,12.490846604478925,0.10846227745466767,0,1.3547856762080033,0,0,0,0,79.1375,77.1125,,
2.808866170000611,1000,,0.0011518827720168319,-0.0023458481595964205,12.490880664843099,0.10762127438013136,0,1.3442844925882924,0,0,0,0,79.199375,77.1125,,
3.3080806700006598,1000,,0.001145664485071881,-0.0023159748310713985,12.490961683257387,0.1062810945604425,0,1.327553071865244,0,0,0,0,79.25,77.1125,,
3.8075734200004474,1007.5,,0.0010778950775661162,-0.0012999770280049184,12.491016530895644,0.10598821000229733,0,1.3239005045289198,0,0,0,0,79.25,77.1125,,
4.322642170000636,1050,,0.006189566157984359,-0.0006735839906790235,12.482056745941874,0.2716114953365995,1,3.3899172782149796,0.0011529371538564735,0.029914049361922778,0.507129586262573,0.00012946886724679772,79.154375,77.1125,,
4.832589420000463,1050,,0.01090297114925434,0.0044126610051454535,12.481350697950138,0.27706703060552207,148,3.4581697881388664,0.19797008966218937,5.802095196668445,0.007876413348171372,0.0012807427017808874,79.1375,77.1125,,
5.333915920000756,1050,,0.006814773037637972,0.009265324279520131,12.48163466791963,0.26916621423310017,409,3.3596343164410163,0.39293594052483793,11.695887966498747,0.023682186110790933,0.0027589258996186857,79.1375,77.1125,,
5.8326906700006695,1050,,0.0052297860867493275,0.015622759433856223,12.481595093638633,0.2671215220247295,487,3.334102666126909,0.3606142865289348,10.815735110827715,0.04343231461142807,0.004686454232572552,79.1375,77.1125,,
6.335325420000589,1050,,0.004636222166761585,0.019124666524728655,12.481719299879838,0.2651508446230442,527,3.309538405576654,0.34658949448314275,10.47252406744962,0.05519389064926409,0.005778777519990255,79.1375,77.1125,,
6.833703170000343,1050,,0.004327528219141123,0.020609681626839287,12.481680421944962,0.2630038191210339,551,3.2827296067828073,0.33827107885156427,10.305418577557308,0.06094540550925776,0.006278686859103834,79.1375,77.1125,,
7.356736920000708,1050,,0.004230206089317649,0.021747806208045138,12.481651545041585,0.262212543253409,567,3.272845545922867,0.34038252723686735,10.40027379972174,0.06390463050211488,0.006645223536317085,79.1375,77.1125,,
7.8582699200006205,1050,,0.004035305539245462,0.022203168290325665,12.481652619030273,0.25897495869468556,577,3.232435443552256,0.3305392595997826,10.225173728211226,0.06724039280402623,0.006869353188715099,79.1375,77.1125,,
