Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),ESC Temp (ºF),Motor Temp (ºF),App message,90% settling time (s),Max acceleration (RPM/s),
1.789785000000149,1145,,0.0003372619588728261,0.0019021504937299998,24.409517200324547,-0.004793336089771616,0,0.11700301973021666,0,0,0,0,75.875,77,,undefined,0,
4.795519999999553,1905,,-0.4589590784776464,6.755835902372294,21.168676174969107,32.89415205211682,8060,696.3256528414565,525.214642201023,75.42658238394773,0.012862999923346642,0.009702121234230187,75.7625,76.8875,,1.977530000000261,4974,
9.347384999999777,1145,,0.009292403460381697,0.03267647486563391,24.310232961389012,-0.0037430128755339687,566,0.09099351498170935,0.7472768948714319,821.2419258906995,0.043727398893091504,0,75.65,76.325,,1.340554999999702,-17009,
13.509860000000335,1905,,-0.45746542353374653,6.704084602336387,21.112562576539354,33.008642633762385,8035,696.8970331719331,521.889482800639,74.88760289669398,0.01284579364650147,0.009619906934920765,75.5375,76.1,,1.8302099999999628,5297,
18.729049999999813,1145,,0.0006752046677818309,0.004315132210612727,24.301613522609642,-0.006671262317120008,0,0.16212243853859973,3.8971082878788045e-43,2.4038056193874373e-40,0,0.026616502006200318,75.425,75.7625,,1.8740750000001862,-13644,
23.59705999999959,1905,,-0.44890581644830696,6.7116221388633255,21.115977122584134,32.79495937295206,8031,692.4976118553318,511.8719548232829,73.91678268057579,0.013111916125939005,0.009691906548069708,75.425,75.5375,,2.0029749999986963,3995,
28.996115000000223,1145,,-0.00008494524806052565,0.008731482933935449,24.297798558762604,-0.007112902861889037,0,0.17282788090622583,1.8479387458157625e-44,1.0692364774283323e-41,0,0.05052126363033427,75.3125,75.425,,2.016549999999814,-20538,
33.768264999999666,1905,,-0.4552109765502544,6.7383962139494304,21.094807551278087,32.90411050567625,8023,694.105878763228,518.5640707582539,74.70964972696125,0.012994336850403892,0.009708023545278194,75.3125,75.2,,1.8941149999992923,6601,
38.36100999999978,1145,,-0.00811823979375159,0.10739004937359253,24.256944191711177,0.23565984736151707,1061,5.716387765675494,1.2229704057000688,21.394112083219618,0.08781083243966065,0.018786347913349172,75.3125,74.8625,,1.0141149999992922,-16887,
40.60940500000026,1905,,-0.45342482305726695,6.742992975943528,21.15231098849449,33.262415948567686,8038,703.5769663727626,517.4609392668624,73.54716882427132,0.013030921687532563,0.009583873972888159,75.3125,74.75,,0.1983950000004843,39080,
49.21175499999989,1145,,0.0007129761833330941,0.004485645904342141,24.318409413882524,0.01706704927801833,0,0.4150434918297579,1.0593983852061287e-43,2.552499692347113e-41,0,0.010807652674101099,75.3125,74.8625,,5.238120000000112,-11980,
50.99820500000008,1905,,0.0009010760541806127,0.003269093307388718,24.330662033142733,0.007271552611216814,0,0.17692168903973282,0,0,0,0,75.3125,74.975,,undefined,0,
