Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),4LHE Temp (ºF),App message,
0,1050,,-0.004448180015683188,0.006931031092771569,25.295765478171216,0.06985653847465023,0,1.7670746183769364,0,0,0,0,80.6,80.6,,
30.764014442999684,1145,,-0.004472385604484067,0.004530633240631714,25.30465053560229,0.0675956293927346,0,1.7104837841173546,0,0,0,0,80.4875,80.6,,
61.2650999429996,1240,,0.03049787975730862,0.45319243201358894,25.223922225208405,0.9729334526441482,2233,24.54119523725631,9.669014850052271,39.39860767050377,0.04687812803266797,0.018467607363110004,79.7,77.45,,
91.7416104429997,1335,,0.07082409339302782,1.0562057770662854,25.09046078236548,2.291067018900496,3277,57.483910042367334,32.952792412481195,57.32773804614949,0.03205314558917126,0.018375245467851832,79.1375,75.9875,,
122.24048244299968,1430,,0.1273411359359409,1.8982654435758164,24.877289920727232,4.5910157106254745,4342,114.21191978696382,78.50569497792051,68.74400617041077,0.024181355083957357,0.01662230007201968,78.9125,75.9875,,
152.74173369299973,1525,,0.19318606628512083,2.903837905661327,24.601705579309797,8.120036809976757,5354,199.76669679585237,146.8630337084745,73.51860356609686,0.01977248694627267,0.014536403487010617,78.9125,76.325,,
183.24234744299972,1620,,0.2711744838820664,4.014179408664575,24.236528581812163,13.485826481566676,6373,326.8495665284599,245.35973126675577,75.0680106426439,0.01636034303213826,0.012281391167552292,79.03625,77.1125,,
213.74295169299967,1715,,0.3441339038081321,5.122367349199602,23.875278132585212,19.18028644379448,7177,457.93461630470847,350.69193999808056,76.58137396996862,0.014606473621450766,0.011185847355032207,79.5875,78.125,,
244.24362494299982,1810,,0.4244602109709875,6.337232983362476,23.429281799775662,26.49442267710259,7928,620.7452422488425,477.7929081846708,76.97065762290069,0.013263660168942624,0.010209066744712732,80.2625,78.8,,
274.7439966929997,1905,,0.49971163090616566,7.442712853935558,22.930823503550027,34.818251467865075,8617,798.4111647889902,611.3763505830455,76.57414554892327,0.012173753877611848,0.009321902174753304,80.9375,79.925,,
305.2477651929996,2000,,0.545726406120758,8.132055436053117,22.563193891238924,40.907122439223926,9063,922.9953225390176,702.2159867202586,76.08010369895626,0.01158059262460353,0.00881050810183522,81.5,80.6,,
335.7732634429996,2000,,0.5452145984601717,8.053535095360312,22.540998348959544,40.85353983347682,9053,920.8794554361118,700.8104731647769,76.10236015418937,0.011491757606711683,0.008745487097926009,81.725,81.275,,
366.24714894299973,1905,,0.4936936186530712,7.399706567594147,22.9127906159758,34.28149012755371,8542,785.484599781726,598.7201165131119,76.22301936862962,0.012359250920842727,0.009420563806075541,81.8375,81.275,,
396.74794519299974,1810,,0.4237023410915986,6.316378696832142,23.3733081605889,26.247046591765105,7873,613.4800968054041,473.63885518169053,77.20526506524551,0.013335973041273715,0.010296025733320485,81.8375,80.2625,,
427.24822519299977,1715,,0.3457618824062959,5.102415764359718,23.800177093032143,18.935049825166313,7109,450.65750173007973,348.985433692203,77.43909468761368,0.014620774382425069,0.011322167500656894,81.8375,79.25,,
457.74873294299977,1620,,0.26858333613471574,4.0405205208593635,24.13468059630398,13.339646672964335,6323,321.9475294643422,241.10543328672802,74.8932211923817,0.01675858353034083,0.012551062666246584,81.815,78.575,,
488.2490196929999,1525,,0.18392881579405324,2.753427290978728,24.486074226814754,7.876087530160748,5308,192.85440970460132,138.6167220164738,71.87718232521762,0.01986383157073814,0.014277462132986965,81.6125,77.9,,
518.7502171929998,1430,,0.12104165683172115,1.8153136738162932,24.731963832649626,4.445581466165556,4278,109.94793417708111,73.5120747062127,66.86237643225803,0.024694180372809085,0.01651110074890128,81.1625,77.1125,,
549.2512669429996,1335,,0.06763205349580204,1.0297348280203773,24.913989332158643,2.2235933966342922,3219,55.3985550685379,30.91262476119698,55.80423036450223,0.03331236523008662,0.018589548055993943,80.4875,76.8875,,
579.7526769429998,1240,,0.02910510110395141,0.4677850062741596,25.030013569922527,0.9664324829588727,2211,24.189817597420323,9.137920075961139,37.776138443661075,0.0511918662386803,0.019338345659106367,79.925,76.775,,
610.2530219429998,1145,,-0.005355121895475086,0.027556286969928796,25.11936390010592,0.07471623862171115,0,1.8768244819953164,0,0,0,0,80.4875,78.0125,,
640.7546049429997,1050,,-0.005090671325499782,0.02364749335479677,25.136940753863595,0.07165768562389532,0,1.8012549008758867,0,0,0,0,80.825,78.771875,,
