Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),4LHE Temp (ºF),App message,
0,1000,,-0.004301260572060875,0.009587226603799025,25.171148083872108,-0.04944445445764759,0,1.2445735377587264,0,0,0,0,80.9375,80.15,,
0.7357396447499281,1000,,-0.004318341209380952,0.008668685116236823,25.171294427870286,-0.0460641932150108,0,1.159495361792978,0,0,0,0,80.9375,80.15,,
1.235700894749863,1000,,-0.0044504902753029745,0.008847251969141545,25.171494031081775,-0.04679410470616233,0,1.1778775425207404,0,0,0,0,80.9375,80.15,,
1.7362103947498368,1000,,-0.004316169817020081,0.008647609459454288,25.171640022047292,-0.0468362400173557,0,1.1789449892286918,0,0,0,0,80.9375,80.15,,
2.2364246447498908,1000,,-0.0044991527717779325,0.008971856049438807,25.171717458315136,-0.046936321772031185,0,1.1814678148237805,0,0,0,0,80.9375,80.15,,
2.7401113947500013,1000,,-0.004377512806209464,0.009745794473513807,25.171999084818673,-0.04646147478426228,0,1.1695281931937875,0,0,0,0,80.9375,80.15,,
3.235811394749885,1000,,-0.004411032021782989,0.007876162276559052,25.17218713238014,-0.046756821303106696,0,1.1769714545983234,0,0,0,0,80.9375,80.15,,
3.7360693947499635,1000,,-0.0043627319167958865,0.009474793144464564,25.17228948633525,-0.047453013749507986,0,1.194500985437262,0,0,0,0,80.9375,80.15,,
4.2363246447499145,1050,,-0.004477086224379183,0.010297297694288322,25.172421009765316,-0.04766792428382695,0,1.1999170440477749,0,0,0,0,80.9375,80.15,,
4.736161144749937,1050,,-0.0043838826918249805,0.009944842707042099,25.172488747850533,-0.04711105042228256,0,1.1859023766369543,0,0,0,0,80.9375,80.15,,
5.236127394749854,1050,,-0.004418533047358916,0.007844399395484602,25.172670371352172,-0.047522016353136014,0,1.196256094471444,0,0,0,0,80.9375,80.15,,
5.736769144750014,1050,,-0.004373415306175004,0.00866004546461796,25.17276577482692,-0.04799756515962103,0,1.2082314380651067,0,0,0,0,80.9375,80.15,,
6.236619894749926,1050,,-0.004416642795099398,0.00917294970070256,25.172919680617625,-0.04791290901889546,0,1.206107784627341,0,0,0,0,80.9375,80.15,,
