Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),4LHE Temp (ºF),App message,
488.01218000000006,1600,,0.2577494157710012,3.7945909577666623,24.518131345057114,12.208310638223503,6224,299.3249637292219,227.7883816943714,76.10069633230972,0.016658404302893493,0.012677161672353396,81.6125,78.575,,
489.01395499999995,1600,,0.2525298322415791,3.7277383782281,24.52820929437599,12.019713942704755,6249,294.82205924519144,224.05613165683465,75.99707166772632,0.016637520029746476,0.012644028020738749,81.6125,78.575,,
490.02110499999986,1600,,0.25095288017561806,3.663891872345232,24.528217479812227,12.024295900410628,6239,294.9345448868865,222.28789823669155,75.36855281633542,0.01648264211146542,0.012422728825307358,81.725,78.575,,
491.01573500000023,1600,,0.25507507785398803,3.7318853208338005,24.521057401832532,12.163317448655517,6227,298.25740535519316,225.53228238967404,75.61665807462144,0.016547011723961804,0.012512297276875719,81.725,78.4625,,
492.01680500000003,1600,,0.25590421413278086,3.7828237171184558,24.519128223646153,12.191414067494051,6224,298.92284474845013,226.14467089094927,75.6531910705101,0.016727450185826383,0.01265484985030763,81.725,78.4625,,
493.0162000000001,1600,,0.2572076715048623,3.776218691639455,24.517852277774146,12.212902124418822,6240,299.43413016941474,227.8699259880431,76.10018465801416,0.016571816905042586,0.012611183265925413,81.725,78.4625,,
494.01745000000005,1600,,0.2582714569114571,3.781440396681788,24.515611654996103,12.241304849625072,6247,300.1030758438287,229.0657132913486,76.32901217265517,0.01650810303448677,0.012600471974667864,81.6125,78.4625,,
495.01206999999994,1600,,0.25452238034724856,3.8190928919998224,24.51788436007841,12.214313657852157,6227,299.4691298009455,225.00906891870957,75.13598115046821,0.016973062065243114,0.012752876713998336,81.6125,78.4625,,
496.0177200000001,1600,,0.2516058551118199,3.717267325702027,24.517488563341526,12.214170355278508,6258,299.46078199624594,223.5586810314494,74.65374248379942,0.016627702885664706,0.012413202493235412,81.6125,78.4625,,
497.0144700000001,1600,,0.2506220701586758,3.746297791254804,24.52160973869463,12.13494534150919,6233,297.5683938648788,221.79039033587057,74.53425663095865,0.016891163704530025,0.012589703303489753,81.725,78.4625,,
498.0131150000001,1600,,0.2544588310321524,3.766550107473093,24.52271771666834,12.096047031656825,6231,296.6279468448643,225.11724190438525,75.89212152761891,0.016731504329076986,0.012697893598821926,81.725,78.4625,,
499.0214700000001,1600,,0.25670911304182237,3.8112459274574553,24.518985199870563,12.172021626963305,6219,298.4456181240177,226.66589681298572,75.9488104525615,0.01681437737676958,0.01277031960266111,81.6125,78.4625,,
499.99814000000003,1600,,0.2571132708250222,3.8136507557571035,24.519068717530423,12.166421032395947,6219,298.30931333972364,227.00993391518227,76.09884229683989,0.016799488418784342,0.012784216198486579,81.6125,78.4625,,
501.0184500000001,1600,,0.2571135698591946,3.7990517327510473,24.52014615900976,12.136027956503817,6222,297.57717928330214,227.1388440101111,76.3293894233295,0.016725680494270423,0.012766609798173532,81.725,78.4625,,
502.01959999999997,1600,,0.2564854898243751,3.784997155394786,24.517193484910813,12.20412100499441,6229,299.2107959927122,226.84279000829218,75.81370493523815,0.016685551942190565,0.012649935116268253,81.6125,78.4625,,
503.01947000000007,1600,,0.25476843459951093,3.7498565368284824,24.51778223228304,12.182073861019546,6239,298.67743406206466,225.68063413771415,75.55998826842007,0.01661576568656864,0.012554870603479432,81.6125,78.4625,,
504.018735,1600,,0.2550139730647335,3.744894577612139,24.51401089422575,12.268716960586293,6233,300.7554612299846,225.67140864455016,75.03484981507339,0.016594457402047933,0.012451626189252994,81.725,78.4625,,
505.016775,1600,,0.25272494426430214,3.7522358439581427,24.52053192011653,12.138378545838018,6238,297.6394985916788,223.82845630770123,75.20119384919529,0.016763890998738214,0.012606646166628925,81.6125,78.4625,,
506.01699500000024,1600,,0.2542095897944804,3.6959503178261803,24.52012172331141,12.142799323403597,6244,297.74291747159964,225.35646200283992,75.68826957045441,0.016400463004160957,0.01241322664939199,81.6125,78.4625,,
507.01805999999993,1600,,0.24892713415349896,3.651331868903168,24.52501311156531,12.050871192963617,6245,295.5477740132174,220.72800458965446,74.68437389746103,0.01654222297569896,0.012354455658122718,81.6125,78.4625,,
508.01673999999986,1600,,0.25333064873776096,3.7794514924043576,24.514440161887677,12.257988375573246,6218,300.49772253810505,223.65699360635904,74.42884815141915,0.016898427504825855,0.012577304947544481,81.6125,78.4625,,
509.01716000000005,1600,,0.2551031000804979,3.7914812865891383,24.51934209007703,12.138684205680216,6221,297.6325505624882,225.32830358065274,75.70687519050269,0.016826475974564097,0.012738799165023162,81.6125,78.4625,,
510.016785,1600,,0.25661298061103743,3.7866361589950173,24.523679568429788,12.04589307155985,6218,295.4096218025022,226.56125045868407,76.69393064324522,0.016713520742531178,0.012818256006321265,81.6125,78.4625,,
511.0184049999999,1600,,0.26360016600698016,3.8513439083650494,24.50785466390772,12.345576505188763,6212,302.56359473132,232.4969805613419,76.84235136345532,0.016565135164621686,0.012729039367029888,81.6125,78.4625,,
512.0205450000001,1600,,0.2571680989045992,3.775570019241643,24.513459318991075,12.232406372303508,6218,299.85859598082925,227.05286839640274,75.71997983039941,0.016628594238457375,0.01259116820343888,81.6125,78.4625,,
