Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),ESC Temp (ºF),Motor Temp (ºF),App message,
0,1324,,-0.11221083205157494,0.958110834648,24.483445451576458,1.358460252180411,950,33.25978748239389,15.127269506387195,45.48215924228269,0.06333666721832755,0.0288068838429944,78.575,76.55,,
0.022785000000149012,1324,,-0.11218017959532321,0.9580473020090563,24.48312111665104,1.3607594475359581,949,33.31563836465002,15.11910346491997,45.38140106888147,0.06336667410418621,0.0287566845192318,78.575,76.55,,
0.04825,1324,,-0.11220518353164532,0.958816967869358,24.483386311905665,1.3593276103912564,949,33.28094300964872,15.120633508996038,45.43330849913809,0.06341116377821794,0.028809789662251468,78.575,76.55,,
0.0751949999993667,1324,,-0.11223183950755618,0.9596008833738063,24.483668372943267,1.3574539827522318,949,33.2354531452367,15.121612786594941,45.498440236438206,0.0634588979969436,0.02887280877984166,78.575,76.55,,
0.1012050000000745,1324,,-0.11215828020061511,0.9595839505727142,24.483834087254333,1.35662718909781,949,33.21543501612899,15.10931016332189,45.48882215748492,0.0635094481614469,0.02888969992736065,78.575,76.55,,
0.1270099999997765,1324,,-0.11222215120881143,0.9598954669502407,24.483723753308016,1.3572769929671271,949,33.23119495252773,15.117259641677173,45.49117076070501,0.06349665810487766,0.028885373165830928,78.575,76.55,,
0.15140499999932944,1324,,-0.11227696610738162,0.9599619460309543,24.483831366006527,1.3568398782699267,949,33.220638770233705,15.121831512191383,45.51938816342333,0.06348185702618249,0.028896552913097437,78.575,76.55,,
0.17729999999981375,1324,,-0.11230018833039464,0.9601565833221329,24.48380417620901,1.3574667366716267,949,33.23594975638559,15.123689090017667,45.504007560704565,0.06348692951879582,0.02888909720829203,78.575,76.55,,
0.20032500000018627,1324,,-0.1123764100849481,0.9601531253600626,24.483548514562926,1.3586398667842101,948,33.26432509223052,15.132068164064309,45.49038082723246,0.06345154640792841,0.028864350101734774,78.575,76.55,,
0.22479999999981373,1324,,-0.11231455310956251,0.9598818653571598,24.483642414105137,1.35900824826068,948,33.27347198823391,15.122002039323817,45.44762279293014,0.0634758455170848,0.028848262835227748,78.575,76.55,,
0.250054999999702,1324,,-0.11226430674895277,0.959173194926894,24.483512169487618,1.359975245339646,948,33.296970469475134,15.114787567913924,45.39388225054993,0.06345925740716678,0.028806620584482672,78.575,76.55,,
0.27493999999947843,1324,,-0.11223874622693485,0.9579020761632494,24.483390200657638,1.3601534300328153,948,33.301167160256306,15.1091494340394,45.3712308680628,0.06339880880423301,0.028764819910170283,78.575,76.55,,
0.30094000000040977,1324,,-0.11225872597192911,0.9583105319167646,24.48291191066929,1.362796009380988,948,33.36521464988637,15.111233944779242,45.29038432195642,0.06341709323134725,0.028721845250290583,78.575,76.55,,
0.3229949999991804,1324,,-0.11235440775266237,0.9582914812021703,24.48290908338454,1.3631430990886029,948,33.37370856262931,15.123153961301933,45.31457429407861,0.06336584839738497,0.028713964449106236,78.575,76.55,,
0.3482749999994412,1324,,-0.11239958162979485,0.9587816812845069,24.482504655638945,1.3658567501303127,948,33.439594244001256,15.128466679796084,45.24117897306719,0.0633759984787454,0.028672048897737546,78.575,76.55,,
0.37324500000011174,1324,,-0.11241650336071911,0.9596233161373372,24.48247744973128,1.3658290965226805,948,33.438880055803374,15.130436935331906,45.24803734479736,0.06342337106580634,0.028697830625185456,78.575,76.55,,
0.39825999999977646,1324,,-0.11242841701334495,0.9598190312331398,24.482285981722253,1.3662204196472947,948,33.448199027873656,15.131672154800286,45.23912376325699,0.06343112786306648,0.02869568643840244,78.575,76.55,,
0.42306499999947844,1324,,-0.11238926282179292,0.9599068575564143,24.48225361137607,1.3675456704093827,948,33.48059992810182,15.126246972925452,45.17913957757159,0.06345968430070965,0.028670539345703894,78.575,76.55,,
0.4512549999998882,1324,,-0.11240484999186846,0.9599115744550882,24.482047919685833,1.368250446697526,948,33.49757300218038,15.128309154457282,45.16240371645006,0.063451345729028,0.028656152921664114,78.575,76.55,,
0.4736599999992177,1324,,-0.11249213250362688,0.9599794154446277,24.482063092710575,1.3673817112411755,948,33.47632532642501,15.140047075899806,45.22613198512799,0.06340663345576646,0.02867636773403126,78.575,76.55,,
0.49875499999988826,1324,,-0.11251686356554536,0.9599712864551284,24.481956518333657,1.3675670827575657,948,33.48071785597513,15.14337397422505,45.23013526581985,0.0633921666392878,0.028672362718883803,78.575,76.55,,
0.5229249999998138,1324,,-0.11261730200828271,0.9603464065304299,24.481950579950677,1.3682529845288036,948,33.49750194810419,15.156891468562803,45.247826217144585,0.06336038022851206,0.028669194736319178,78.575,76.55,,
0.5483699999991805,1324,,-0.11266766323258234,0.959890751331154,24.482316705509653,1.3653226543818897,948,33.42626162978452,15.163669417358964,45.364538772853244,0.06330200988372225,0.02871666481769657,78.575,76.55,,
0.5699699999997392,1324,,-0.11265638859561035,0.9588499054828443,24.48235558875695,1.365394829371292,948,33.428081731718095,15.161954599471416,45.35693887898168,0.06324052081756479,0.028683964373972543,78.575,76.55,,
0.5952599999997765,1324,,-0.11265660645195054,0.9573489066072968,24.482262308781994,1.3651597182239497,948,33.42219831494165,15.161798663497718,45.36445664233737,0.0631421724991066,0.028644103466387082,78.575,76.55,,
0.6211550000002608,1324,,-0.11264313477161032,0.9573008794684239,24.48264485283001,1.3622588621747191,948,33.35169992024395,15.159911355155366,45.454688640783615,0.06314686524488672,0.02870321098347846,78.575,76.55,,
