Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),4LHE Temp (ºF),App message,
56.5,1400,,0.08365138743578499,1.114090799001398,19.031186878538737,3.1202869107377618,358.97932055136,59.382763312908665,40.71593855346155,68.56524735791588,0.027362522849339578,0.018761181475015935,73.0625,,
57.5,1400,,0.0836077210726233,1.1152230017455398,19.074823395005087,3.116384861196215,360.02651810256,59.44449085818524,40.816299026432276,68.66287933024168,0.027322981954422943,0.018760746128789134,73.0625,,
58.5,1400,,0.08401463919626861,1.1185730951248916,19.065000565014792,3.1179212996339993,360.44539712304,59.44317133919385,41.06105438812256,69.0761503181257,0.027241704135304752,0.01881752049772217,73.0625,,
59.5,1400,,0.08336049885721745,1.1212023499769461,19.039941419750257,3.120703477880877,359.7123588372,59.41801140726279,40.64989724056608,68.41342595924938,0.027581923352516025,0.018869738710910463,73.0625,,
60.5,1400,,0.08359024270075069,1.1147282046168743,18.98844798973367,3.123083708248479,359.18876006159996,59.302512561660805,40.70494384452458,68.63949280766293,0.027385572840357128,0.018797318300094224,73.0625,,
61.5,1400,,0.083665491320238,1.1210490031346223,19.031432179828535,3.118372591530092,359.18876006159996,59.347096487141094,40.741356307829214,68.64928314842962,0.027516241596482926,0.018889702605375532,73.0625,,
62.5,1400,,0.08479635332958375,1.1078970955181902,19.043745259006087,3.1148997059853234,359.81707859232,59.31935650813746,41.3685652695204,69.73872898274855,0.02678113413651472,0.018676822553970362,73.175,,
63.5,1400,,0.08415084108063847,1.1155180980595427,19.056892431971995,3.1173356089764677,360.13123785768,59.40672937462046,41.091331817888914,69.1694901410341,0.027147285052802967,0.018777638658156976,73.0625,,
64.5,1400,,0.08422781143816882,1.10681136623865,19.0651991504261,3.119407314902186,359.7123588372,59.47212168990612,41.08292992430438,69.07930767715852,0.02694090631505491,0.01861059156439181,73.0625,,
65.5,1400,,0.08421234895390041,1.1079972828471085,19.01779785318305,3.1160623268656558,359.81707859232,59.26064343025025,41.087795440429794,69.33403530926915,0.026966579028400616,0.018697017425253253,73.175,,
66.5,1400,,0.08429006403462176,1.1133480011228185,19.069848632200507,3.1197392870950487,360.44539712304,59.4929559768317,41.19778505136718,69.24817295582153,0.027024462595128557,0.018713946598255916,73.175,,
67.5,1400,,0.08390339036578359,1.1112993175803718,19.071553287909808,3.119152186404713,360.02651810256,59.487077136117875,40.95585532905524,68.84832353645542,0.02713407664549456,0.01868135687751989,73.175,,
68.5,1400,,0.08347323923225058,1.1083081366117413,18.997079160533772,3.120908824303906,358.87460079624,59.28815198810969,40.61656300938972,68.50704845301203,0.02728709803327089,0.01869358547107378,73.0625,,
69.5,1400,,0.08374035681632437,1.1101440729414938,18.97127418399349,3.1198939220278046,358.45572177575997,59.18836301976429,40.693425170342586,68.75240857185754,0.027280674170199075,0.018756120566652476,73.175,,
70.5,1400,,0.08377014175598035,1.111831049435334,19.006300553075782,3.1213315192295688,358.76988104111996,59.324964980265825,40.7473274518234,68.68495828927638,0.027285987056448795,0.018741368828539207,73.175,,
71.5,1400,,0.08383018008583895,1.1057125348296786,18.997845981740117,3.1175110984478756,358.35100202063995,59.22599569467819,40.73451398104916,68.77809904799862,0.027144365472092955,0.01866937857034683,73.0625,,
72.5,1400,,0.08452477829660736,1.108797096484928,19.042820208848937,3.1167553884396595,358.97932055136,59.35181249701757,41.136118378906176,69.3089505581203,0.02695434426437032,0.01868177313945796,73.175,,
73.5,1400,,0.08468709592436356,1.1085073803827974,19.02300877667311,3.1166396510685828,358.76988104111996,59.28786343600507,41.18976115453455,69.47418707202108,0.026912207046404846,0.018697037068628946,73.175,,
74.5,1400,,0.08468018979480979,1.1175502489256874,19.035314661485174,3.116473802419871,358.87460079624,59.32305946333742,41.20859201266455,69.46471133730402,0.027119350464151575,0.01883837851647471,73.0625,,
75.5,1400,,0.08451776851553454,1.1163209074601583,19.024496803204393,3.114355944980075,358.1415625104,59.24905471931403,41.04366095689452,69.27310680539026,0.02719837561840688,0.01884115979147022,73.0625,,
76.5,1400,,0.08419347741803748,1.1241155386576172,18.987773808972232,3.1202660567790117,358.24628226552,59.24690610993358,40.895862178679195,69.02615657735151,0.027487268363391243,0.018973404899351246,73.0625,,
