Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),ESC Temp (ºF),Motor Temp (ºF),App message,
0,1050,,-0.0002197774675826447,-0.009271298002305091,48.0954198061083,-0.0005357828378340923,0,0.1039844273854286,0,0,0,0,82.175,88.1375,,
30.741871947249923,1145,,-0.00015704258289346907,-0.012717125264577743,48.1015885484405,-0.0019653280233787097,0,0.09453541348649436,0,0,0,0,82.4,88.1375,,
61.238038947249926,1240,,-0.1783161595322002,1.567269348318603,47.91031831540295,1.3060010039556078,1196,62.5709237111972,30.277500673383475,48.38927050964308,0.05176346349131872,0.02504791711956467,81.820625,84.39125,,
91.7380299472499,1335,,-0.33319410696678015,3.038655593129695,47.699964230894025,2.666153192413722,1655,127.17539314290198,78.29232816018038,61.56469658296358,0.03881199212827321,0.02389414986194925,81.05,82.0625,,
122.22509794724988,1430,,-0.5054035502553216,4.7215543134910005,47.42414334740764,4.53427870383493,2053,215.03427052367653,147.34123203567032,68.52010598142586,0.032045075917899415,0.02195732739293831,80.4875,81.2525,,
152.71491594724995,1525,,-0.7360198948202004,6.984002660808137,47.030397841354635,7.406273131251962,2478,348.3196550983762,258.98227010778663,74.35669182436556,0.026967178392484813,0.020051643042746703,80.2625,80.9375,,
183.19313769724994,1620,,-1.0160698390379588,9.574094164289342,46.50503139069093,11.453845512788826,2909,532.6614297928156,419.708712893766,78.79467813260005,0.022811248917253158,0.01797404408252678,80.15,81.3875,,
213.6905699472499,1715,,-1.3250264032783483,12.351446543157378,45.8466809819909,16.664658006071342,3327,764.0190085369192,625.8461578413792,81.91585479402954,0.019735620735582732,0.016166582342988657,80.2625,81.95,,
244.17316169724995,1810,,-1.6529966842920412,15.504864697913193,45.0385531747136,22.84425266950769,3684,1028.871602666372,864.6340652591367,84.03760900853361,0.01793236333044808,0.015069910215042693,80.375,82.7375,,
274.6669746972499,1905,,-1.9649386284061188,18.35995348030353,44.12443279393368,30.061222613609175,4025,1326.4339928837549,1122.9182194808652,84.65685674104768,0.01635011694682854,0.013841511662845543,80.6,83.8625,,
305.16753519724995,2000,,-2.1886711180125764,20.524030654820802,43.48520099357221,35.24902632438077,4214,1532.8109845016586,1309.4954103771272,85.43096787639755,0.015673252334527283,0.01338979906683041,80.7125,84.65,,
335.64717319724997,2000,,-2.1782450019092447,20.49168727637984,43.391923144609166,35.08510160072304,4208,1522.4100235290202,1301.345790763991,85.47933005945593,0.015746544571050992,0.013460031017619181,80.6,85.6625,,
366.14596144725,1905,,-1.9079582719938097,17.92053364309602,44.03774068324737,28.89512818390358,3968,1272.4756144822206,1075.0255933488938,84.48336196962136,0.016669894350506753,0.0140832561669427,80.4875,86.7875,,
396.6488736972499,1810,,-1.5851418550898464,14.981132478434848,44.7700727133241,21.833033950086282,3618,977.466465646064,814.2827277106277,83.3054543921103,0.018397953734071725,0.015326501931835188,80.7125,87.2375,,
427.15456969724994,1715,,-1.2829591427304736,12.032253699535838,45.42920425294333,15.968147427564892,3261,725.4201272031693,594.0249960654388,81.88721466360262,0.020255595310122314,0.016586641083579053,80.825,87.8,,
457.6476584472501,1620,,-0.9782748378485739,9.214546659990734,46.03655058076148,10.884273069507527,2854,501.07429335660635,396.4685961929718,79.12413553244411,0.023241681371546863,0.01838971675780397,80.825,88.008125,,
488.1490576972498,1525,,-0.7096838802725366,6.591405620344029,46.524371586222614,7.088213104157296,2431,329.77464697207927,244.9481684513331,74.2773930660824,0.02690943369617122,0.019987599918904322,80.9375,88.1375,,
518.6495024472499,1430,,-0.4884067550847407,4.528992127844021,46.908109863072916,4.312984768845532,2008,202.31391783352643,139.23322125212627,68.82159979971844,0.03252883568430664,0.02238646383166808,80.825,88.025,,
549.1501929472498,1335,,-0.32175554407561435,2.943062171889757,47.1712385833085,2.584437391120379,1629,121.91111248564293,74.40596951993685,61.033008614462084,0.03955420702519137,0.024141055473879708,80.825,88.28375,,
579.65043294725,1240,,-0.16872873644861955,1.4918986785335078,47.38785060258222,1.2449305927091163,1174,58.99458511481123,28.120057799227123,47.665780975728424,0.053054598182811115,0.02528900748166385,80.825,88.7,,
610.15157169725,1145,,-0.0007284181315373733,-0.005439011687577897,47.59717157616008,0.002963979871615216,0,0.14107718474522463,0,0,0,0,81.1625,91.0625,,
640.6521871972498,1050,,-0.0006010593825151626,-0.01355489315868734,47.63048336329483,0.008513646327824531,0,0.4055091520464796,0,0,0,0,81.6125,92.93,,
