Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),ESC Temp (ºF),Motor Temp (ºF),App message,90% settling time (s),Max acceleration (RPM/s),
0,1050,,0.00046590920564602514,-0.028556265239346075,48.10820260898658,0.039867408298388585,0,1.917949355914071,0,0,0,0,81.275,85.325,,undefined,0,
3.427285583018791,1145,,0.0003996765660340646,-0.02854918431153643,48.10871062439172,0.03721022959994014,0,1.7901361680906953,0,0,0,0,81.275,85.4375,,undefined,0,
6.575990583018865,1240,,-0.1774842955402157,1.5892779772752208,47.94856728890184,1.3486452158079472,1198,64.6656058790229,30.178850098394754,46.669090451040795,0.05266197923690129,0.024576866723377788,81.275,85.4375,,0.39879999999993015,5260,
8.81496058301872,1335,,-0.3329115655695448,3.051401031145934,47.77795880579034,2.7194761833444354,1655,129.9310210611584,78.235867850241,60.21338646558889,0.039002584300425,0.023484776816382,81.3875,85.2125,,0.3745599999999395,1162,
10.902625583018759,1430,,-0.5126932805301412,4.752181730416953,47.53880992113807,4.659882451632734,2061,221.52526612301543,150.01173722651282,67.71766482980304,0.03167873273303484,0.02145209805448564,81.275,85.1,,0.19582500000006986,1847,
12.905415583018796,1525,,-0.748176252373509,6.928234861868383,47.18034690697623,7.6310453336217305,2490,360.0353661031354,264.4870823899144,73.46141720814995,0.02619498388830416,0.01924320640179478,81.275,84.875,,0.11962999999988824,1231,
14.904580583018717,1620,,-1.0314689035573266,9.556348937399608,46.69056173476579,11.666797324604223,2917,544.7293207314339,427.24506113837424,78.43254344464,0.022367371344064618,0.017543298246857443,81.275,84.5375,,0.1242400000001071,1687,
16.91841058301879,1715,,-1.3372348211296035,12.636069258296716,46.06630399338704,16.883559408457327,3335,777.763180200405,633.1428331208491,81.40560639007212,0.019957691372753557,0.016246679683449144,81.1625,84.3125,,0.12407499999995343,1567,
18.926630583018763,1810,,-1.6557489719361382,15.577789541634967,45.294120273451526,23.12647158000558,3717,1047.4931852453312,873.9210971846563,83.42976445999284,0.01782516704519314,0.014871494880404902,80.9375,83.8625,,0.16933500000007917,2105,
20.97931558301882,1905,,-1.9877080024654055,18.667562968748022,44.43102098967725,30.598474765081733,4056,1359.5214745394562,1144.5430444238132,84.1871986473426,0.016310057589966537,0.013730980582761107,80.9375,83.4125,,0.14636999999999534,2017,
22.986625583018757,2000,,-2.211938967050075,20.68921724930543,43.90215196477825,35.66472314962991,4257,1565.7580954967968,1336.8043700207563,85.37745223003965,0.015476622992326236,0.013213546402096666,80.9375,83.075,,0.10406000000005589,531,
24.931750583018758,1905,,-1.9791739816126053,18.699478193818056,44.46550737064645,30.37663855513807,4052,1350.712645568955,1138.7218211828174,84.30526099821613,0.016421462947284585,0.013844157197433623,80.9375,82.85,,0.1191699999999255,-486,
26.95419558301894,1810,,-1.6623884516496772,15.541003258846395,45.27708437110161,22.934744029667304,3709,1038.4183404608655,875.3101817336068,84.29263502271456,0.01775485260329825,0.014966033103719129,80.825,82.625,,0.12324000000010711,-902,
29.704485583018744,1715,,-1.3294701591023759,12.437191864040617,45.96108057259101,16.81173069495803,3335,772.6853090356674,629.5675644247945,81.47787424747497,0.01975513442374351,0.016096063583197377,80.7125,82.175,,0.12502499999990688,-1322,
33.043725583018734,1620,,-1.0272306410017664,9.579338442769933,46.54779343115994,11.622830282512089,2909,541.017103075803,424.3309482857178,78.43207652277565,0.02257515856778801,0.017706165643025434,80.6,81.8375,,0.14964999999990686,-2152,
36.89069058301882,1525,,-0.7466848329402026,6.939147505158845,47.021763123369126,7.543525354601044,2478,354.7098623391794,262.741696404478,74.0722839426551,0.02641053019036753,0.019562882913369686,80.4875,81.8375,,0.1970549999999348,-1454,
44.45608058301872,1430,,-0.5118934411693564,4.770345217580208,47.38701401655899,4.587513817969056,2049,217.38858159325773,148.93734951091304,68.51203886576732,0.03202920713471319,0.021943862840531823,80.375,81.8375,,0.3888100000000559,-988,
49.744710583018836,1335,,-0.3328467834652404,3.0138204065251473,47.622265096427036,2.7161336846846544,1652,129.34843836938776,78.06677445590113,60.35385926574649,0.03860567350874236,0.023300013858059944,80.2625,81.8375,,0.5485300000000279,-725,
91.04433058301872,1240,,-0.17771391279750146,1.5517667716308203,47.84247938806609,1.3561556493203017,1200,64.88184869961592,30.283151503666833,46.67430430946722,0.05124191818156459,0.023916808826071664,80.375,82.85,,0.873089999999851,-541,
95.53172558301897,1145,,-0.00035403717587465097,-0.019727336918454234,48.00734125444043,0.0337370606700354,0,1.6196265845081503,0,0,0,0,80.4875,82.9625,,2.361054999999935,-557,
97.27947058301885,1050,,-0.00039853605345442617,-0.02013050169062841,48.011679817981964,0.03272207279029232,0,1.5710416817882147,0,0,0,0,80.4875,82.9625,,undefined,0,
