Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),ESC Temp (ºF),Motor Temp (ºF),App message,
0,1000,,0.008384116561469573,-0.16873312398418597,37.933517998713796,0.0054474395177354085,0,0.20664054499292092,0,0,0,0,71.375,131.225,,
0,1000,,0.007943057103088083,-0.1661254999245519,37.93356420375883,0.00526954722029932,0,0.1998927078059631,0,0,0,0,71.375,131.225,,
0.023009999999776484,1000,,0.007508489603242692,-0.16368786226486684,37.933580603089155,0.005401539670791211,0,0.20489974048274207,0,0,0,0,71.375,131.225,,
0.045994999999180435,1000,,0.007120727947338321,-0.16098999408075712,37.933607843457814,0.005305031646776537,0,0.20123899008595436,0,0,0,0,71.375,131.225,,
0.0720949999988079,1000,,0.006841606993823405,-0.15811261517022068,37.933658033524864,0.0040112593106451655,0,0.1521617389738064,0,0,0,0,71.375,131.225,,
0.09984500000067055,1000,,0.0066476701873418665,-0.1551100907887513,37.93369545968812,0.003953429994527968,0,0.1499682094336204,0,0,0,0,71.375,131.225,,
0.12563499999977648,1000,,0.006518257110843898,-0.1527684357208982,37.93371494588895,0.005435392265059347,0,0.20618462080185093,0,0,0,0,71.375,131.225,,
0.150875,1000,,0.006411890061676972,-0.1512616970047576,37.93374602125269,0.005591440034754869,0,0.2121042661714555,0,0,0,0,71.375,131.225,,
0.17435999999940396,1000,,0.006275269913532906,-0.15023084163934872,37.933770481250676,0.004921252661066855,0,0.1866816689251542,0,0,0,0,71.375,131.225,,
0.1978300000000745,1000,,0.006219288926571654,-0.1491771040677597,37.93380755652746,0.004998672646662539,0,0.18961868621657454,0,0,0,0,71.375,131.225,,
0.22653999999910593,1000,,0.006230654588495039,-0.14846455014245918,37.93386666723423,0.0046437968407253005,0,0.1761571701857971,0,0,0,0,71.375,131.225,,
0.25367499999888243,1000,,0.006238812278619942,-0.14817712797073707,37.93391177716506,0.00576438466902629,0,0.2186656594844861,0,0,0,0,71.375,131.225,,
0.2813449999988079,1000,,0.006325719987372637,-0.1478647143921989,37.93398705085093,0.00689722521266789,0,0.2616392519041463,0,0,0,0,71.375,131.225,,
0.30521499999985097,1000,,0.006403295133889106,-0.14735353998277426,37.93405907995894,0.008012242473418085,0,0.303936879349598,0,0,0,0,71.375,131.225,,
0.33197000000067056,1000,,0.006403226744366163,-0.14639746326444528,37.93412479349946,0.006309698581733192,0,0.23935289340883342,0,0,0,0,71.375,131.225,,
0.355214999999851,1000,,0.006342158671868092,-0.14562333642253325,37.934170835536136,0.005117055297964634,0,0.1941112498478757,0,0,0,0,71.375,131.225,,
0.3870500000007451,1000,,0.006182011566405961,-0.14455553204594748,37.934225508266096,0.006027771305982699,0,0.2286588360334033,0,0,0,0,71.375,131.225,,
0.41356000000052157,1000,,0.0060077076880889375,-0.14435776953403257,37.93432080367912,0.005036888260715355,0,0.19107093513426165,0,0,0,0,71.375,131.225,,
0.43828999999910595,1000,,0.006001762196114335,-0.14361959027239765,37.93440327978996,0.005739834230344298,0,0.21773718645302345,0,0,0,0,71.375,131.225,,
0.467214999999851,1000,,0.006085682208812507,-0.14247296349203528,37.934469341893134,0.006256639796328234,0,0.23734231053708188,0,0,0,0,71.375,131.225,,
0.4931749999988824,1000,,0.006127882240872495,-0.1425372500369795,37.93449383378032,0.0054030528080381,0,0.20496207343011077,0,0,0,0,71.375,131.225,,
0.521324999999255,1000,,0.0061516241785817705,-0.14239697305182378,37.93450550576565,0.004640482730572326,0,0.17603441769230632,0,0,0,0,71.375,131.225,,
