Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),ESC Temp (ºF),Motor Temp (ºF),App message,90% settling time (s),Max acceleration (RPM/s),
0,1145,,0.006531700085703596,0.027592113313942,47.177386944219776,0.11458358684187059,0,5.405754213895539,0,0,0,0,79.5875,80.2625,,undefined,0,
4.849859781088307,1905,,3.5622738289931584,26.97928663257468,39.051814366955554,54.77662970029319,3460,2139.126774703314,1749.965930358558,81.80749037659393,0.015417035363109486,0.012612289721031877,79.7,80.4875,,0.4970699999984354,8030,
12.616549781087786,1145,,0.005162810101438416,0.04082467224846905,47.09227790514109,0.11804125796140758,0,5.558831724191053,0,0,0,0,79.475,79.5875,,3.391059999998659,-4067,
15.709324781088158,1905,,3.5757425414601114,26.775893590133652,38.965203317492055,55.00194764753197,3453,2143.162072944137,1753.269034248891,81.80758032174225,0.015271982261184789,0.012493639155040974,79.5875,79.7,,0.511925000000745,6316,
24.20590478108637,1145,,0.005157514001238583,0.0391217441433343,47.07962864695967,0.11446005163193029,0,5.388736725743108,0,0,0,0,79.1375,79.1375,,3.3117449999991804,-3520,
27.290644781086595,1905,,3.548557860505837,26.628678293684583,38.92440698565947,54.71214974327632,3453,2129.637983667632,1739.8037144157497,81.69481046818505,0.015305564687006584,0.01250385206213549,79.3625,79.3625,,0.4752699999976903,8260,
35.1654347810857,1145,,0.005221450019415489,0.037489196449931886,47.04951690286998,0.11113099614225741,0,5.228659681427919,0,0,0,0,78.9125,79.025,,3.2824650000017135,-4100,
38.30947478108667,1905,,3.5560824106112854,26.721230106219956,38.94503178646111,54.814073532285995,3452,2134.735836060295,1742.9592824810898,81.6475393835034,0.015330954873588602,0.012517347418280388,79.025,79.025,,0.5214749999996274,8373,
46.44333978108689,1145,,0.0055549160619987195,0.04154763807133097,47.05955028167938,0.11543015045900423,0,5.432090969547326,0,0,0,0,78.8,78.6875,,3.3193499999996274,-3729,
49.514044781086966,1905,,3.5421221203884277,26.77569304791795,38.88906175574789,54.5083809634559,3450,2119.779793493669,1734.8718284922443,81.84207783361087,0.015433816267100478,0.01263135592201687,78.8,78.9125,,0.472269999999553,7924,
57.659449781086295,1145,,0.006489564784423665,0.039851479304345724,47.0407927771673,0.11143287178042721,0,5.24189062998773,0,0,0,0,78.6875,78.8,,3.292385000001639,-4444,
60.730679781088604,1905,,3.5293509606606683,26.46172514011556,38.87586820658918,54.629883912113705,3458,2123.784167108599,1732.9569730359415,81.59760298972637,0.01526969541185876,0.012459705439908975,78.8,78.8,,0.4865999999996275,8069,
69.01129478108696,1145,,0.005650336808950384,0.03440958322685245,47.04055436336644,0.11364670058230403,0,5.346003796959101,0,0,0,0,78.6875,78.575,,3.4024399999994785,-4478,
