Time,ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),Motor Temp,App message
17.3891535,1700,,0.286890268,3.958781741,23.53232255,14.39228422,6400,338.6783505,260.6884703,76.99887083,0.015185915,0.011692959,76.775,76.42625,75.07625,
17.9051705,1700,,0.286560191,3.97423426,23.53442495,14.24462036,6425,335.2366561,261.4216309,77.9919217,0.015203426,0.011857154,76.775,76.4375,75.0875,
18.44176675,1700,,0.283824306,3.978817078,23.53920077,14.0624085,6390,331.0166425,257.5105993,77.8011605,0.01545126,0.01202117,76.775,76.4375,75.2225,
18.96578475,1700,,0.285398133,4.010576091,23.53582063,14.03857861,6372,330.4091362,258.2170212,78.15185107,0.015531871,0.012138375,76.775,76.4375,75.3125,
19.48018275,1700,,0.287469927,4.012063166,23.53505731,13.97390969,6373,328.8764305,260.0968077,79.08752671,0.015425215,0.012199439,76.775,76.40375,75.34625,
19.9831045,1700,,0.283683764,3.948503126,23.53913463,13.84543755,6373,325.9091871,256.6823945,78.76159635,0.015382859,0.012115757,76.775,76.325,75.425,
20.50040225,1700,,0.286768847,3.990371053,23.52404843,13.99066331,6379,329.1131446,259.7211352,78.92795766,0.015364483,0.012127193,76.775,76.325,75.425,
21.03403525,1700,,0.27900889,3.892007009,23.53923053,13.71220737,6382,322.7735235,252.8199073,78.33488918,0.015394294,0.012059691,76.775,76.431875,75.63875,
21.55924025,1700,,0.282106241,3.899418332,23.50905517,14.10451413,6398,331.5826132,256.2624539,77.28707111,0.015216582,0.011760566,76.775,76.4375,75.65,
22.0604945,1700,,0.281375787,3.933454979,23.51561117,13.9293283,6397,327.5556219,255.5489361,78.0232804,0.015392325,0.012009538,76.775,76.4375,75.711875,
22.5637025,1700,,0.275520056,3.885359988,23.51901437,13.82261614,6401,325.0917833,250.3847192,77.03096005,0.015517854,0.011953742,76.775,76.4375,75.7625,
23.09087425,1700,,0.274233376,3.89153483,23.49153519,14.17154195,6394,332.9096757,248.9708241,74.79589659,0.015630535,0.011690842,76.775,76.4375,75.81875,
23.61290675,1700,,0.278998192,3.942999559,23.50384364,13.92505057,6383,327.290689,252.8392593,77.25816168,0.015595323,0.012048607,76.775,76.4375,75.9875,
24.13669475,1700,,0.283341581,3.968929636,23.49696504,13.96910205,6373,328.2311978,256.3674951,78.10688201,0.015481747,0.012092101,76.775,76.4375,75.9875,
24.6521155,1700,,0.283870014,3.974181632,23.48903939,14.03023827,6372,329.5563588,256.8308757,77.93273354,0.015473877,0.012059212,76.775,76.4375,76.19,
25.163434,1700,,0.285662452,3.99721974,23.48491875,14.03289928,6372,329.5613662,258.459328,78.42584436,0.015465596,0.012129004,76.775,76.4375,76.2125,
25.66728275,1700,,0.285698021,3.972302942,23.4833053,14.00747684,6372,328.9416998,258.4784594,78.57956138,0.015368025,0.012076135,76.836875,76.4375,76.274375,
26.16365975,1700,,0.284562273,3.939053003,23.48988099,13.86875422,6373,325.7748697,257.483486,79.03961699,0.015298219,0.012091656,76.8875,76.4375,76.325,
26.6874745,1700,,0.283587737,3.918702809,23.49163856,13.80717069,6372,324.3528188,256.5769029,79.10587359,0.01527303,0.012081814,76.8875,76.4375,76.37,
27.20833925,1700,,0.282031886,3.934799286,23.48480525,13.86537084,6373,325.6253853,255.1799282,78.36704533,0.015419884,0.012083894,76.8875,76.4375,76.55,
27.736802,1700,,0.279524962,3.933994324,23.47613329,13.95341211,6372,327.5714535,252.9034807,77.20938098,0.015555333,0.012010153,76.8875,76.4375,76.55,
28.24601075,1700,,0.280104121,3.950893119,23.46553422,14.06564771,6372,330.057483,253.4181026,76.78266396,0.015590411,0.011970746,76.8875,76.4375,76.64,
28.787433,1700,,0.28355161,4.006690129,23.46196973,14.06506058,6377,329.9926852,256.7499438,77.81311919,0.015605866,0.012142867,76.8875,76.4375,76.6625,
29.31167875,1700,,0.282156438,3.986024934,23.46874711,13.93052684,6373,326.9316635,255.2954611,78.08921677,0.015613391,0.012192391,76.8875,76.4375,76.78625,
29.811944,1700,,0.282199032,3.969316933,23.46433415,13.96379401,6373,327.6509074,255.3288539,77.92812008,0.015545983,0.012114639,76.8875,76.4375,76.8875,
30.34246225,1700,,0.285170403,3.995787368,23.45638162,14.03913469,6372,329.3069259,257.9965567,78.34734001,0.015487822,0.012134231,76.8875,76.409375,76.915625,
30.874451,1700,,0.283591549,3.978960678,23.45738456,13.98782721,6373,328.1171023,256.5948925,78.20423195,0.015506937,0.012127043,76.8875,76.325,77,
31.393477,1700,,0.278724653,3.877345869,23.47651623,13.68120145,6372,321.1863865,252.1690522,78.51499676,0.015375811,0.012072438,76.8875,76.325,77,
31.91206375,1700,,0.279447114,3.876425823,23.46681077,13.79343065,6372,323.6876454,252.8295274,78.11006822,0.015332185,0.011975966,76.8875,76.431875,77.21375,
32.437159,1700,,0.278234524,3.875076005,23.45813433,13.89432291,6389,325.9322783,252.4056085,77.45203535,0.015352667,0.011891037,76.8875,76.4375,77.225,
32.93910525,1700,,0.277542445,3.884334292,23.46714259,13.73209019,6375,322.2524594,251.2039935,77.95483841,0.015463022,0.012054109,76.949375,76.4375,77.286875,
33.43806175,1700,,0.27891467,3.894448446,23.45998492,13.80583697,6377,323.8840109,252.5396838,77.97413082,0.015421483,0.012024731,77,76.4375,77.3375,
