Time,ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),Motor Temp,App message,
791.1470142500192,2000,,0.38710769186561816,5.553732108121847,17.780603530441294,29.25317150710189,0,520.1388834559567,0,0,0,0,75.875,79.5875,,
791.7055620000214,2000,,0.3917656800633925,5.607735550749096,17.754984473007077,29.434463642584376,0,522.6081666451804,0,0,0,0,75.875,79.5875,,
792.2635712500125,2000,,0.39003036381056405,5.563665649769469,17.76524044826814,29.30463467994461,0,520.603518803025,0,0,0,0,75.875,79.5875,,
792.8254240000158,2000,,0.38531767233284575,5.574616728945709,17.77179741622537,29.226527300085735,0,519.4079152436814,0,0,0,0,75.875,79.5875,,
793.382953250012,2000,,0.3866122506349273,5.586549752560847,17.769966467599787,29.251496570777654,0,519.7980766573373,0,0,0,0,75.875,79.660625,,
793.9407132500141,2000,,0.3880042345269513,5.592701356178565,17.763311778268264,29.27380903500412,0,519.9997778787545,0,0,0,0,75.875,79.7,,
794.4976892500102,2000,,0.38916920616401446,5.5882892700070155,17.759985896744947,29.269001999435353,0,519.8170379344818,0,0,0,0,75.875,79.7,,
795.0535025000156,2000,,0.38996370777421596,5.606578539450314,17.74810169751861,29.335395497744848,0,520.6475727574032,0,0,0,0,75.875,79.7,,
795.6249025000214,2000,,0.38948302859305367,5.573987440717394,17.756350479360286,29.243083145346237,0,519.2498725912133,0,0,0,0,75.835625,79.739375,,
796.2006232500105,2000,,0.3878731332839859,5.542052442456533,17.770244949801533,29.15222204130676,0,518.0417650413052,0,0,0,0,75.7625,79.8125,,
796.7541387500019,2000,,0.3908073782134911,5.596139294430132,17.748988756958727,29.269136889234964,0,519.4975731618517,0,0,0,0,75.7625,79.8125,,
797.3176322500169,2000,,0.3864313842872377,5.5910897619726425,17.754162007735943,29.198783501647977,0,518.3999128039138,0,0,0,0,75.7625,79.8125,,
797.8776892499984,2000,,0.3855424324724634,5.580248553154462,17.744805381529527,29.233123164156787,0,518.7360539882349,0,0,0,0,75.7625,79.8125,,
798.4363127500117,2000,,0.3877593012473162,5.544660977437084,17.748751428663667,29.17667711922395,0,517.8494826806498,0,0,0,0,75.7625,79.8125,,
798.9944632500202,2000,,0.3871158658509247,5.549192541612752,17.74687915409774,29.168061101532697,0,517.6420091268861,0,0,0,0,75.83,79.8125,,
799.5479002500116,2000,,0.38364228825307106,5.554901706854136,17.748030382930786,29.132408258324073,0,517.042809519656,0,0,0,0,75.875,79.8125,,
800.1017440000207,2000,,0.38246506665951824,5.530567076055891,17.761448219195284,29.017606670501834,0,515.3939575780412,0,0,0,0,75.875,79.8125,,
800.6562212500124,2000,,0.37920728134555975,5.533620897541841,17.764520963728945,28.96327424616256,0,514.5186280969169,0,0,0,0,75.79625,79.8125,,
801.2133505000114,2000,,0.38182179380144166,5.546807515025071,17.74634706671257,29.067901392636163,0,515.8485481936159,0,0,0,0,75.790625,79.8125,,
