Time,ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),Motor Temp,App message,
0.23749000002145765,1220,,0.000183375816595245,-0.022266083892714564,23.877963722988632,0.1560031024279606,0,3.9138647261469623,0,0,0,0,72.6125,76.55,,
0.2332922500193119,1220,,-0.0022474677197911763,-0.04200647298017853,23.8330872764601,0.5535468762670337,0,13.192377167346248,0,0,0,0,72.6125,76.55,,
0.7297780000180006,1220,,0.0005119084170928091,-0.05748120629565496,23.77856234862051,1.0273959337391236,0,24.42821998980856,0,0,0,0,72.6125,76.51625,,
1.2374432500183583,1220,,-0.0006076716442783953,-0.0745285049101484,23.724114831221147,1.4815263619195969,0,35.13911229311319,0,0,0,0,72.6125,76.4375,,
1.7354230000078679,1220,,0.016896817704802603,-0.08403138074290883,23.693409137092516,1.6914147797286598,0,40.06561213965708,0,0,0,0,72.6125,76.4375,,
2.235454000014067,1220,,0.05372056521582086,-0.0011733466130997006,23.777788390487725,0.9016409218797697,0,21.438135343678468,0,0,0,0,72.6125,76.43187499999999,,
2.7563335000127553,1220,,0.031055909902579212,0.11666383759318119,23.79974729657466,0.7173014438429896,0,17.071505775897595,0,0,0,0,72.6125,76.325,,
3.252448250019551,1220,,0.023796146460208153,0.13635892008660355,23.80553709414614,0.674079524727475,0,16.04682369889412,0,0,0,0,72.6125,76.325,,
3.7500110000222926,1239.3,,0.0248597827954321,0.15927835164046664,23.798151778171388,0.7475779784351703,0,17.7904128441476,0,0,0,0,72.6125,76.325,,
4.2528307500243185,1278.25,,0.03973499937819499,0.24228278469286918,23.757435115898282,1.1074349417568023,0,26.307354959617403,0,0,0,0,72.6125,76.325,,
4.768130250024795,1318.65,,0.05925144391876441,0.4269765298774786,23.691100754213327,1.6875225512791157,0,39.97506726003657,0,0,0,0,72.6125,76.30250000000001,,
5.261390250012278,1357.1,,0.07370841126500301,0.6381594266825898,23.61630815573095,2.318734636820184,0,54.752920963525774,0,0,0,0,72.6125,76.2125,,
5.755844250017405,1395.65,,0.09315118175326535,0.9152725683531554,23.523874823201236,3.0915160728329734,0,72.71733543844073,0,0,0,0,72.6125,76.15625,,
6.255794000017643,1434.7,,0.11380078043023628,1.221282749650269,23.396477303052613,4.161186983139856,0,97.34595288802495,0,0,0,0,72.6125,76.1,,
6.764739000028371,1474.25,,0.13198387842135198,1.5040116641182808,23.264637165575095,5.216150040217875,0,121.33395115283443,0,0,0,0,72.6125,75.99875,,
7.267395500016212,1513.55,,0.15823475455053942,1.829735190929424,23.095758693002896,6.58916262453864,0,152.16721808166977,0,0,0,0,72.640625,75.959375,,
7.780900500014425,1553.6,,0.17618218709905645,2.173570597982295,22.930986519461904,7.899271400272513,0,181.1086332875402,0,0,0,0,72.725,75.875,,
8.288721000015736,1593.2,,0.2040986316343751,2.5690253197788375,22.727917707170537,9.8041560133701,0,222.784912477044,0,0,0,0,72.651875,75.801875,,
8.780314000022411,1631.5,,0.23266339102827796,3.0095601089945387,22.533089967942725,11.749609817169544,0,264.7260231637123,0,0,0,0,72.6125,75.7625,,
9.293453250020743,1671.55,,0.2575043270581765,3.395363053487032,22.324079159470088,13.75858298392077,0,307.12058390758943,0,0,0,0,72.725,75.65,,
9.795625250029564,1710.75,,0.2817120781779391,3.78557255483302,22.106480557321678,15.793300207369175,0,349.081955184042,0,0,0,0,72.725,75.65,,
10.315685000026226,1751.15,,0.3061995648701908,4.15272380172915,21.852807125703073,18.068173008502093,0,394.7941887768716,0,0,0,0,72.725,75.65,,
10.82260250002146,1790.8,,0.33290841373378716,4.548984167757089,21.59733385824105,20.45958729862612,0,441.8077441536535,0,0,0,0,72.725,75.56,,
