Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),4LHE Temp (ºF),App message,
0.24213274999991988,1220,,0.004448746213069937,-0.07573260697328434,25.575348710652158,0.11448685703320287,0,5.394119562839916,0,0,0,0,81.888125,73.625,90.1625,,
0.23862475000005215,1220,,0.05418899201770421,-0.04937566931990452,25.533469060932624,0.7154238695178776,408,18.246936410305132,6.343852750992949,17.633644382074785,11.206328821922687,0.0027643662981835172,81.8375,73.625,90.1625,,
0.7315537500000093,1220,,0.07460138176309142,0.17787824304417735,25.519475417483914,0.8954915567453361,1993,22.85086209358068,20.9260341023089,90.46635616907426,0.009730887746824072,0.008418648200592174,81.8375,73.625,90.1625,,
1.2159330000000073,1220,,0.041759581189129515,0.2806492178329944,25.532521618900176,0.695120563709744,2092,17.748177448631665,12.40064759069844,69.83781644174475,0.022728318800032565,0.0158230074084644,81.8375,73.625,90.1625,,
1.7145362499999581,1220,,0.03902193611727139,0.3022681855102816,25.531694066969035,0.6938111071852562,2125,17.714172155579753,11.770529028302663,66.44775943860375,0.0256793975864532,0.01706355950439427,81.8375,73.625,90.1625,,
2.1936959999999734,1220,,0.03894353610383258,0.3106806267136686,25.530869069653555,0.6939520795515539,2137,17.717198689033832,11.818441704660753,66.70678375146038,0.02628783251347009,0.017535762888741743,81.8375,73.625,90.03875,,
2.6906152500000085,1220,,0.038449437010234025,0.31601399213649256,25.53037691738491,0.6899278486933607,2141,17.614117970877643,11.688817580787386,66.36032833723155,0.02703759972996371,0.017941348149075647,81.8375,73.625,89.9375,,
3.1903255000000112,1220,,0.038228776813910896,0.3175707665709813,25.529612755266704,0.6908770871428367,2139,17.637820188856047,11.60853385962186,65.82075661859918,0.027357109682075192,0.01800688702799296,81.820625,73.625,89.920625,,
3.6900007500000527,1234.9,,0.03977992859888053,0.3203551064776881,25.525649594423957,0.7402161350626806,2157,18.894220255277165,12.188949163878757,64.62961346861923,0.02636707143240548,0.017057588636353555,81.725,73.625,89.825,,
4.193125499999988,1273.9,,0.05815151996570924,0.3887209906156251,25.49300162607873,1.1946595963716116,2432,30.452825384106518,20.217676864806172,66.14580503519021,0.01950409091157603,0.012878858457592172,81.725,73.625,89.825,,
4.69506799999997,1312.95,,0.08222733163286464,0.6031746938450381,25.44131954046176,1.907521688430608,2945,48.52685664317473,34.50491221406904,71.01258682202412,0.017458859123450333,0.012399960543196248,81.725,73.625,89.571875,,
5.195885749999993,1351.95,,0.10415224407881225,0.9142365846248055,25.381174045740362,2.7209639538751826,3461,69.05731342338586,51.29629459532451,74.20495284723428,0.017804133936302046,0.013212622127322406,81.725,73.625,89.4875,,
5.696599500000011,1391,,0.12943333136384252,1.2845616892252687,25.301992911509785,3.800603179236526,3977,96.15464798144626,73.24229036792931,76.12691676002285,0.017544514092289423,0.013356885518896308,81.725,73.625,89.38625,,
6.199636500000022,1430.35,,0.15258739105311672,1.668824820983847,25.20813366475485,5.081319327549864,4440,128.07084685392456,96.39085883525526,75.3331133367728,0.017349605372602304,0.013071942480543863,81.725,73.625,89.15,,
6.699443499999982,1469.25,,0.18470089250110214,2.1259520488202814,25.09419847768623,6.631901597804413,4941,166.41324578750803,129.67349611082417,77.89038098722482,0.01639428071769339,0.0127695038737744,81.725,73.625,89.15,,
7.1950062500000485,1508.05,,0.2104084194334975,2.527801672974129,24.98532061213288,8.070792517087181,5339,201.63435831299734,159.64386670766098,79.15931146040066,0.015849710649198403,0.012545678443383496,81.725,73.625,88.76750000000001,,
