Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),4LHE Temp (ºF),App message,
0.2450622499972582,1220,,0.01820232308690682,0.11298405329780094,25.091730046058142,0.4459333892208723,0,11.186397685404604,0.0002346340955250344,0.0013779062315897094,0,0.0006746174103349189,79.11500000000001,72.5,87.4625,,
0.23437275000959631,1220,,0.017610897664406593,0.11413540232562153,25.060867279596046,0.748895031150137,1,18.767939599609484,0.0014181841478330417,0.00753817359839203,0,0.006083394220030613,79.025,72.5,87.4625,,
0.7346597500070932,1220,,0.014935207300216554,0.11268021486960877,25.036104254954584,0.9809433373175052,1,24.55527288346773,0.0014506312090033207,0.005614443839326523,0,0.004795633771228713,79.025,72.5,87.4625,,
1.2422707500085237,1220,,0.017218965402068916,0.11295001544226559,24.997745440425977,1.3334075829562904,22,33.3319978982841,0.060253375070859386,0.17881066241056895,0,0.0033913967607067013,79.11500000000001,72.5,87.4625,,
1.7579322500064969,1220,,0.012391753679933394,0.11341298850804095,24.969393610125763,1.5761353644194795,25,39.34960540718426,0.05665539442462915,0.16755686960237293,0,0.0029478187537117563,79.1375,72.5,87.4625,,
2.258912000006437,1220,,0.012303349219084046,0.11329889365129099,24.912484629328187,2.1198504874637,50,52.81061435479903,0.07750547821844406,0.14600804531430794,0,0.002145806566204249,79.0925,72.5,87.4625,,
2.759743250009417,1220,,0.02790401698046931,0.1145542924761409,24.89187484491649,2.236537383012281,33,55.668144527521314,0.17703629002188692,0.2909054982193416,0,0.0020693498683933415,79.025,72.5,87.4625,,
3.2740392500102518,1220.05,,0.07798148482121645,0.17855317646598626,24.918124964708788,1.8245606294699421,990,45.454541233865555,13.01247373128954,32.55226183621374,0.04703242867561502,0.004246180940358865,79.025,72.50562500000001,87.4625,,
3.7924882500126964,1234.2,,0.0672630204854186,0.39137652794320316,24.973692482509634,1.1689420706793858,1999,29.192627270135773,19.00038543606335,64.97833025998746,0.021009671193471167,0.013450802607182828,79.025,72.6125,87.4625,,
4.310201000007988,1259.1,,0.06255215659334958,0.5105538285178207,24.959206696681683,1.3306009638667642,2279,33.21021903985137,20.263989538967092,60.96044830423388,0.025211613354914758,0.015366813708785494,79.025,72.6125,87.4625,,
4.810099000011384,1283.15,,0.07393801557156632,0.6405278306647997,24.925843864456724,1.6731779638104325,2587,41.704352432219636,27.20404806777801,65.1469193347777,0.023576953283341296,0.015353640008918024,79.025,72.6125,87.4625,,
5.33769525000751,1308.5,,0.08570702921059022,0.8076179790569858,24.885836006673497,2.06670369658175,2905,51.429832773932596,35.38017253098117,68.80234478418045,0.022835563697934304,0.015711016132949084,79.025,72.6125,87.4625,,
5.859502000012993,1333.4,,0.1003038661078338,0.9962636411476372,24.832299387995022,2.5957479264666263,3227,64.45601290661357,46.00063275167516,71.33300163933377,0.021671527526596356,0.015457197707967843,79.025,72.573125,87.38374999999999,,
6.404264250011741,1359.55,,0.11396728193106026,1.208093943983447,24.776607800354782,3.115359154886753,3537,77.18479258496735,57.28655615001836,74.20231079884944,0.021101342013024403,0.015657012074893447,79.025,72.5,87.2375,,
6.912294750009478,1384,,0.1315005154498995,1.4390930106393547,24.701393912943097,3.8589502563778297,3865,95.31608909382051,72.24714813310236,75.74954639518958,0.019943799473803873,0.015104551591587509,79.025,72.50562500000001,87.22625,,
7.431379500012101,1408.9,,0.14451940783979184,1.687999327874905,24.63902929711093,4.425315357104893,4143,109.03179391801004,85.0268669492452,78.00783519824846,0.019853305736405542,0.015487098774806533,79.025,72.6125,87.0125,,
7.936842000012099,1433.1,,0.16028416406781948,1.9019838614732585,24.555219513653224,5.241261174867866,4414,128.69192701743142,100.52351500487659,78.10657088797696,0.018939991938987474,0.01479293745823417,79.025,72.6125,87.0125,,
8.437330500009654,1457.25,,0.18166416808934813,2.179802461823197,24.450044703992173,6.303585967735446,4740,154.1134292653715,122.33432394372218,79.3622938191427,0.01783133229603477,0.01415045048988101,79.025,72.6125,86.77624999999999,,
8.939710750009118,1481.3,,0.19707091247884329,2.4360613727411886,24.35974789619673,7.1608471952487545,4995,174.43110786194018,139.78493125198776,80.1403358271519,0.01742952801290505,0.013968001438468922,79.025,72.6125,86.675,,
9.48740475001186,1507.6,,0.21400218665785842,2.6769812221346974,24.25286685972071,8.191022175009444,5262,198.6457320625537,159.94102110021885,80.5093065761196,0.016745352478915995,0.013481145850015405,79.025,72.6125,86.53999999999999,,
9.986844000013173,1531.6,,0.2313809343587935,2.9317252754474477,24.144067121601463,9.258610010098632,5500,223.51939833924393,180.75190839304702,80.92030755706094,0.016226022683975303,0.013131865780316452,79.025,72.6125,86.3375,,
10.489867750008404,1555.7,,0.2553827848598026,3.245609845113488,23.99086472996681,10.847802143191306,5814,260.23485989689186,210.88039659817133,81.02554441677165,0.015393811825053984,0.012472588903402915,79.025,72.6125,86.3375,,
10.988549000006914,1579.7,,0.27384567232881335,3.555345681160641,23.859237998975622,12.142708982034026,6059,289.69637335040676,235.62576387283238,81.35097529443081,0.015091501716151309,0.012277450340395228,79.025,72.6125,85.91,,
11.500442500010134,1604.2,,0.29231032258918127,3.8404635637122495,23.726610027750773,13.437730841663583,6293,318.82115826222434,261.212902598417,81.91702051401367,0.014705780820758536,0.012045748386224318,79.025,72.6125,85.8875,,
12.024013500007987,1629.35,,0.3092918487531399,4.1080311421737825,23.60067684847989,14.639915564900312,6490,345.4891946939678,285.0549788673994,82.52107544502856,0.014414383409902316,0.011895385276189569,78.9575,72.6125,85.6175,,
