Time,ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),Motor Temp,App message,
2111.929209249994,2000,,0.4709038939117617,6.732338233851323,20.151332713504917,34.7770642005768,0,700.8039282218231,0,0,0,0,77.9,85.1675,,
2112.649736250004,2000,,0.46785530111251,6.723948759038642,20.15046051115059,34.778529619648175,0,700.8033360352766,0,0,0,0,77.95625,85.15625,,
2113.37187299999,2000,,0.47364206937616804,6.77852833484342,20.145792885859784,34.90035345603859,0,703.0937119134552,0,0,0,0,77.9675,85.1,,
2114.086902249968,2000,,0.47512967144535295,6.862836719854118,20.117883852306907,35.23278521872637,0,708.8090218350045,0,0,0,0,77.93375,85.1,,
2114.7925672499896,2000,,0.4738633490427726,6.8180696178049205,20.117367096587614,35.1345164899102,0,706.8138103782487,0,0,0,0,78.0125,85.1,,
2115.5069857499775,2000,,0.4683884334606635,6.78638423121001,20.13011295518843,35.062475579716235,0,705.8115682717073,0,0,0,0,78.0125,85.1,,
2116.202882249975,2000,,0.468610587976408,6.814780805399453,20.13008172299771,35.06288052651595,0,705.818323903105,0,0,0,0,78.0125,85.1,,
2116.918148249975,2000,,0.47497450516615153,6.873009721154379,20.13164087808311,35.08997615434292,0,706.4187026619285,0,0,0,0,78.0125,85.1,,
2117.646168499986,2000,,0.4727282196269675,6.8149194100523856,20.150841113554378,34.97394432335377,0,704.7541105062514,0,0,0,0,78.0125,85.1,,
2118.362126249981,2000,,0.46574385334040797,6.725846643349685,20.158647333462355,34.78491684440262,0,701.2167829681006,0,0,0,0,78.0125,85.1,,
2119.083863749981,2000,,0.46803469863965075,6.718543663627107,20.156788096996095,34.83340536916458,0,702.1294317883138,0,0,0,0,78.0125,85.1675,,
2119.8024544999957,2000,,0.46955091533362836,6.768178909850495,20.14641379747556,34.95567885315927,0,704.2315337446839,0,0,0,0,78.0125,85.161875,,
2120.51596824998,2000,,0.46887772097980135,6.7179977136580575,20.15010082552676,34.79529886733413,0,701.1284491945373,0,0,0,0,78.0125,85.1,,
2121.2261007499815,2000,,0.466582245505832,6.694473248624124,20.16550990886397,34.59108342450724,0,697.5467665417457,0,0,0,0,78.0125,85.0775,,
2121.9449922499803,2000,,0.4648509013048336,6.706507179045421,20.167789542850862,34.549730505371784,0,696.7915954809399,0,0,0,0,78.0125,84.9875,,
2122.6707017499893,2000,,0.4655270823386937,6.77613093241535,20.139454637799258,34.87467498371883,0,702.3538106861577,0,0,0,0,78.0125,84.9875,,
2123.386427999979,2000,,0.4746601041094595,6.8608247162243,20.115095320751728,35.160651903206215,0,707.2592139377418,0,0,0,0,78.0125,84.875,,
2124.1027867500006,2000,,0.4687365658275626,6.7557280077347945,20.13814623829372,34.83087367108193,0,701.4286584057052,0,0,0,0,78.0125,84.875,,
2124.8296032499848,2000,,0.4682541115940621,6.815838886268764,20.137887004663096,34.86740132728547,0,702.1553604602436,0,0,0,0,78.0125,84.875,,
2125.5620502499846,2000,,0.474113239687786,6.871727514219161,20.140661107579376,35.21674949340969,0,709.2888953552745,0,0,0,0,78.0125,84.959375,,
2126.2717450000105,2000,,0.4709256350285913,6.880498705743202,20.147125042222548,35.270533775685855,0,710.5991459765376,0,0,0,0,78.0125,84.9875,,
2126.9912889999932,2000,,0.4770396741432233,6.947442678124454,20.136259598765104,35.366650908096105,0,712.1517967092884,0,0,0,0,78.0125,85.03812500000001,,
2127.700176749978,2000,,0.4782507594842328,6.949439637765633,20.11810130115095,35.248515002632445,0,709.1329761218333,0,0,0,0,78.051875,85.1,,
2128.396909499997,2000,,0.4801992825681034,6.920960964589661,20.11398031776698,35.40546151437631,0,712.1448017518749,0,0,0,0,78.1025,85.1,,
2129.113176999986,2000,,0.47639223844045947,6.86968409953884,20.20145004594333,35.46513603379571,0,716.4478460652816,0,0,0,0,78.018125,85.1,,
2129.8138047499715,2000,,0.4769224214259795,6.855419341845786,20.267280665142938,35.32406191636043,0,715.9225597703148,0,0,0,0,78.125,85.1,,
2130.53706224998,2000,,0.4749562214026873,6.852708042863436,20.26715637052404,35.34236506265812,0,716.2890927835547,0,0,0,0,78.0125,85.1,,
2131.2550299999743,2000,,0.4733366083480154,6.929669831942211,20.272581196003298,35.41113867820783,0,717.8755316863835,0,0,0,0,78.11375,85.1,,
2131.9702197499846,2000,,0.47566757697894985,6.886822196649176,20.31748685306881,35.38071157668598,0,718.846936893892,0,0,0,0,78.125,85.01,,
2132.68583499999,2000,,0.4747572734992027,6.870578985347393,20.317639849240404,35.324360555126376,0,717.7073572705503,0,0,0,0,78.125,84.9875,,
2133.4101815,2000,,0.4795842595792136,6.981538697100234,20.276075055257536,35.65691261054751,0,722.9819403402945,0,0,0,0,78.125,84.9875,,
2134.131838499972,2000,,0.48116222565810046,6.96395177955962,20.276421513184506,35.56921580220958,0,721.216119775811,0,0,0,0,78.125,84.9875,,
2134.847412999976,2000,,0.4784611012899001,6.935995852625292,20.287314678827563,35.488345904995455,0,719.9625347491677,0,0,0,0,78.125,85.026875,,
