Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),4LHE Temp (ºF),App message
15.76568825,1700,,0.361595827,5.191431557,22.94506957,19.82963905,7105,454.9924197,364.7537529,80.16715846,0.014232757,0.01140994,73.7375,71.7125,74.3,
16.2646855,1700,,0.363339971,5.182667301,22.94380842,19.76971266,7109,453.5924453,366.7343383,80.85121772,0.014131971,0.011425852,73.7375,71.7125,74.3,
16.773044,1700,,0.365337785,5.193059852,22.94156362,19.73455837,7108,452.741597,368.7149579,81.44066594,0.014084307,0.011470264,73.7375,71.718125,74.3,
17.2688435,1700,,0.363820575,5.188505111,22.94305371,19.66569834,7117,451.1911236,367.6341054,81.48090838,0.014113385,0.011499585,73.7375,71.825,74.3,
17.770495,1700,,0.362535622,5.197755689,22.93500419,19.72934097,7119,452.4924458,366.4228923,80.97887277,0.01418516,0.011486971,73.7375,71.825,74.3,
18.26490525,1700,,0.360274132,5.164215149,22.93953859,19.62854762,7119,450.2697465,364.1294157,80.86904038,0.014182501,0.011469159,73.7375,71.7575,74.3,
18.76590025,1700,,0.36020446,5.146808535,22.94002502,19.59302183,7121,449.4643726,364.1610232,81.02125744,0.014133379,0.011450973,73.7375,71.7125,74.3,
19.26550675,1700,,0.35823791,5.121173007,22.93386308,19.6475077,7114,450.5929395,361.8411462,80.30434233,0.014153181,0.011365533,73.7375,71.7125,74.3,
19.7648385,1700,,0.363434465,5.196074572,22.91469526,19.86607353,7079,455.2240146,365.3020628,80.24618532,0.014223756,0.011414069,73.7375,71.7125,74.3,
20.26552225,1700,,0.368302937,5.301903248,22.90229026,19.98670329,7077,457.741135,370.0623997,80.84590261,0.014327076,0.01158275,73.7375,71.7125,74.3,
